rank,uid,nickname,company,net_value,equity,net_profit,profit_rate,max_drawdown,credit_score,total_fee,option_profit,start_date,update_date,start_equity,source
1,41166,海通合肥N01,海通期货,2.096,5105800.0,7010900.0,109.6,73.55,81.76,2632.09,60000.0,2026-01-07,2026-02-24,6716400.0,niumoney
2,42114,止损侠,海通期货,1.3875,23721800.0,6624600.0,38.75,6.89,85.93,42124.67,9060.52,2026-01-05,2026-02-13,17009900.0,niumoney
3,40858,YD-对冲5号,永安期货,1.5356,12767900.0,4485800.0,53.56,4.82,90.2,80012.33,0.0,2026-01-05,2026-02-24,8161700.0,niumoney
4,35495,亿杉 平湖习剑,上海中期,2.1378,8342800.0,4440700.0,113.78,13.46,91.13,61564.91,0.0,2026-01-07,2026-02-25,4101800.0,niumoney
5,41582,宏德私募,国投中谷,1.4106,10649200.0,3168100.0,41.06,17.93,81.72,79343.17,0.0,2026-01-06,2026-02-24,7706100.0,niumoney
6,40613,润木资产,宝城期货,1.2014,17572800.0,2987799.9999999995,20.14,24.65,73.24,42332.26,26700.0,2026-01-05,2026-02-24,12310300.0,niumoney
7,38014,大漠孤烟,徽商期货,1.2175,8705100.0,2960299.9999999995,21.75,10.25,78.58,23401.98,368900.0,2026-01-05,2026-02-24,10918100.0,niumoney
8,42230,东都三号,东证期货,1.5266,5173000.0,2823800.0,52.66,4.43,88.77,181863.76,-32200.000000000004,2026-01-05,2026-02-24,5276100.0,niumoney
9,41585,联唐一号,国信期货,1.7685,3115100.0,2243900.0,76.85,21.43,84.56,6736.7,1889.29,2026-01-05,2026-02-24,2300300.0,niumoney
10,36848,乐丁量化CTA,金源期货,1.7999,3541300.0,2000900.0,79.99,10.78,87.4,59837.42,12200.0,2026-01-05,2026-02-25,2142200.0,niumoney
11,40904,随意咔咔,瑞龙期货,2.2145,1151400.0,1714100.0,121.45,73.57,80.69,1106.55,52000.0,2026-01-05,2026-02-24,341000.0,niumoney
12,40844,万昱,创元期货,0.9659,1097300.0,1543899.9999999998,-3.41,75.86,47.5,29533.72,13500.0,2026-01-05,2026-02-24,2945899.9999999995,niumoney
13,42239,牛钱进取10,海通期货,4.0284,1749100.0,1314900.0,302.84,3.32,95.05,0.0,0.0,2026-01-05,2026-02-24,4195.94,niumoney
14,41583,段力铭15609169446,南证期货,1.3703,5068200.0,1177900.0,37.03,20.28,77.6,7172.63,-129500.0,2026-01-05,2026-02-24,2674900.0,niumoney
15,40706,新容量化,宏源期货,1.2615,3735500.0,780900.0,26.15,5.79,78.68,19322.95,0.0,2026-01-05,2026-02-24,2769200.0,niumoney
16,42320,无声B,徽商期货,2.932,1582100.0,722700.0,193.2,23.3,86.52,30529.83,1402.97,2026-01-05,2026-02-24,816500.0,niumoney
17,42127,亿佳信量化1号,金谷期货,1.046,16159900.0,715900.0,4.6,7.61,67.75,25040.31,30200.0,2026-01-05,2026-02-13,14361700.0,niumoney
18,42123,顶佳福,民生期货,2.2514,532800.0,646200.0,125.14,24.9,84.26,4491.17,1524.2,2026-01-07,2026-02-24,1098900.0,niumoney
19,41999,A恩典满溢A,渤海期货,1.2849,857000.0,639600.0,28.49,64.63,69.02,46850.7,0.0,2026-01-07,2026-02-24,843900.0,niumoney
20,40982,Insidebar,华鑫期货,2.3052,768.0,596800.0,130.52,75.84,79.22,2674.62,4585.0,2026-01-05,2026-02-24,9365.71,niumoney
21,40688,受伤DE小鱼,宏源期货,6.5157,2046600.0,552800.0,551.57,32.93,84.12,6749.47,1831.01,2026-01-05,2026-02-13,1384000.0,niumoney
22,41459,牛钱进取3号,海通期货,1.269,2839500.0,496200.0,26.9,29.31,69.9,7252.79,-23300.0,2026-01-05,2026-02-24,2187300.0,niumoney
23,41078,悟.空,华鑫期货,1.3062,2375200.0,485300.0,30.62,33.84,70.83,29838.63,0.0,2026-01-05,2026-02-24,1953800.0,niumoney
24,41938,姚家人,华安期货,1.4256,1305600.0,336300.0,42.56,63.99,70.88,1230.73,1.45519152284e-11,2026-01-05,2026-02-24,260700.0,niumoney
25,35721,全国第三,东航期货,1.2607,1544700.0,319400.0,26.07,9.59,76.23,23528.08,-70.0,2026-01-05,2026-02-25,1256800.0,niumoney
26,40676,鼋石龟行,宝城期货,1.0808,4106100.0,306800.0,8.08,4.83,70.54,3643.31,2766.63,2026-01-05,2026-02-24,3439300.0,niumoney
27,40532,一只小蜜蜂2,中国国际,1.1666,1281399.9999999998,305400.0,16.66,8.83,72.5,9652.31,2345.32,2026-01-06,2026-02-13,2370500.0,niumoney
28,42318,无声A,徽商期货,236.6351,2242.35,296300.0,23563.51,29.95,97.71,1572.36,0.0,2026-01-05,2026-02-24,1173.81,niumoney
29,38037,追随白希候,徽商期货,1.7087,502600.0,288700.0,70.87,42.53,71.67,14775.99,383.99,2026-01-05,2026-02-25,337299.99999999994,niumoney
30,40620,18叔的江湖,中辉期货,2.6248,439400.0,282100.0,162.48,36.93,96.1,1851.55,-2767.0,2026-01-06,2026-02-24,65500.0,niumoney
31,41710,喜得永续,招金期货,1.1798,1337400.0,253700.0,17.98,23.65,67.3,5649.77,-1058.52,2026-01-05,2026-02-24,1209000.0,niumoney
32,36700,头头,银河期货,1.0784,3235200.0,238700.0,7.84,11.16,68.14,98861.41,0.0,2026-01-06,2026-02-25,3024200.0,niumoney
33,38694,贵平投资,海通期货,1.5929,309400.0,208900.0,59.29,8.35,83.24,207.56,0.0,2026-01-06,2026-02-25,381700.0,niumoney
34,39517,牛钱激进,新湖期货,1.1017,2065100.0,190600.0,10.17,10.56,69.36,1885.54,0.0,2026-01-06,2026-02-24,1860900.0,niumoney
35,40987,稳行-套利2号,国元海勤,2.0119,321200.0,161500.0,101.19,7.09,96.87,3093.5,1119.69,2026-01-05,2026-02-13,129200.0,niumoney
36,41992,奇获稳健,广发期货,1.0298,5280300.0,152900.0,2.98,3.83,64.71,6135.64,8379.63,2026-01-05,2026-02-24,5145700.000000001,niumoney
37,41659,毛丑JL,宝城期货,1.0785,1001.35,149900.0,7.85,0.0,69.61,375.43,0.0,2026-01-05,2026-02-24,1806200.0,niumoney
38,40583,科学家的梦想,方正中期,1.5129,438800.0,148800.0,51.29,8.61,95.12,1689.51,0.0,2026-01-05,2026-02-24,290100.0,niumoney
39,40300,王卅丰,东航期货,1.4964,642600.0,147100.0,49.64,23.92,74.51,90199.49,0.0,2026-01-06,2026-02-13,456599.99999999994,niumoney
40,34287,信必得着,国联期货,1.8917,267300.0,126000.0,89.17,6.8,96.22,147.49,1795.0,2026-01-06,2026-02-25,151800.0,niumoney
41,41678,千裕鑫石,迈科期货,1.4386,357600.0,123900.0,43.86,13.58,94.27,4234.42,1177.77,2026-01-05,2026-02-24,285800.0,niumoney
42,35969,subaru,中证期货,1.1476,862200.0,110900.0,14.76,14.75,65.88,1625.03,-61100.0,2026-01-05,2026-02-25,671800.0000000001,niumoney
43,40995,交易要,招金期货,1.4378,14000.0,102600.0,43.78,27.51,72.35,293.84,58.62,2026-01-05,2026-02-24,1341600.0,niumoney
44,40742,趋势冲浪,徽商期货,1.6248,180300.0,85200.0,62.48,21.64,94.71,1014.3000000000001,84.85,2026-01-06,2026-02-24,55100.0,niumoney
45,39547,毛线球小可爱,广发期货,1.2673,401000.0,83800.00000000001,26.73,4.69,92.58,775.99,0.0,2026-01-05,2026-02-24,341500.0,niumoney
46,40308,diracedirace,东证期货,1.0723,1238100.0,82700.0,7.23,21.39,60.2,22148.07,0.0,2026-01-05,2026-02-24,1176300.0,niumoney
47,41523,呆若木鸡,渤海期货,1.0611,1431000.0,82300.0,6.11,1.43,66.57,1030.49,-1480.0,2026-01-05,2026-02-09,1350200.0,niumoney
48,42291,段力铭6,中辉期货,1.3536,253400.0,74300.0,35.36,18.43,92.82,15.12,0.0,2026-01-05,2026-02-24,151600.0,niumoney
49,41009,初心,华鑫期货,2.1325,2677.82,69400.0,113.25,29.52,95.49,410.4,117600.0,2026-01-05,2026-02-24,49400.00000000001,niumoney
50,39295,期魔传说,华闻期货,0.8557,345800.0,62800.0,-14.43,49.33,77.73,5103.05,17300.0,2026-01-06,2026-02-24,148600.0,niumoney
51,42280,段力铭3,东航期货,1.3042,283500.0,61000.0,30.42,19.24,92.07,22.68,172.8,2026-01-05,2026-02-24,171500.0,niumoney
52,42160,本色-交易,徽商期货,2.1419,110399.99999999999,58800.0,114.19,22.6,95.83,1032.35,0.0,2026-01-05,2026-02-24,48600.0,niumoney
53,40249,随波冲浪,长安期货,1.8224,0.14,56500.0,82.24,0.0,96.53,71.45,0.0,2026-01-09,2026-02-24,130700.0,niumoney
54,42281,段力铭4,中信建投,1.3935,194600.0,55599.99999999999,39.35,14.78,93.35,22.68,55.09,2026-01-06,2026-02-13,151500.0,niumoney
55,40777,CCTV雪松复利,东吴期货,1.0252,3953399.9999999995,54100.0,2.52,10.24,59.8,5379.06,75100.0,2026-01-05,2026-02-24,4170100.0,niumoney
56,42304,轻舞飞扬,宝城期货,1.0518,1016400.0,52600.0,5.18,0.84,64.56,4103.05,1765.2,2026-01-06,2026-02-13,1015400.0000000001,niumoney
57,40683,快乐的小鱼,宝城期货,1.0162,3048700.0,48700.0,1.62,1.49,61.08,195.0,0.0,2026-01-05,2026-02-24,1001.44,niumoney
58,42324,福州数为,中州期货,1.054,482200.0,47600.0,5.4,21.22,57.6,5623.98,615.5,2026-01-09,2026-02-24,566000.0,niumoney
59,41707,湫兮如风,中衍期货,2.0818,138.57,41300.0,108.18,87.92,93.25,2956.62,23200.0,2026-01-05,2026-02-24,408.65,niumoney
60,42279,霖,冠通期货,4.7896,50300.0,39800.0,378.96,0.32,98.46,56.39,0.0,2026-01-05,2026-02-13,10500.0,niumoney
61,36525,言道一二,恒泰期货,2.9398,19600.0,38200.0,193.98,4.12,97.87,461.66,8640.0,2026-01-05,2026-02-25,31.51,niumoney
62,40820,kyle_梁生,中信建投,1.3577,20800.0,35600.0,35.77,64.41,90.7,5194.42,770.0,2026-01-05,2026-02-24,37500.0,niumoney
63,42169,大宗师智量1号,象屿期货,1.344,137900.0,35300.0,34.4,30.29,91.44,43.8,-4500.0,2026-01-05,2026-02-24,98100.0,niumoney
64,42310,段力铭9,华安期货,1.1544,293700.0,34600.0,15.44,20.19,89.44,22.68,276.0,2026-01-05,2026-02-24,132900.0,niumoney
65,42292,段力铭7,金汇期货,1.4414,303400.0,27500.0,44.14,16.55,93.61,15.12,104.12,2026-01-05,2026-02-24,151500.0,niumoney
66,41682,卡市的龙,金谷期货,1.006,4118900.0,24500.0,0.6,9.54,56.76,1527.82,116.28,2026-01-05,2026-02-24,4250100.0,niumoney
67,42278,段力铭2,鲁证期货,1.0598,193400.0,24300.0,5.98,18.9,87.55,22.68,109.33,2026-01-05,2026-02-24,151500.0,niumoney
68,35625,蓝海,徽商期货,2.0986,7700.19,23500.0,109.86,42.65,94.17,686.68,-3715.0,2026-01-07,2026-02-13,28500.0,niumoney
69,41115,zhuiyunshou,华鑫期货,1.3926,80800.0,21700.0,39.26,31.34,91.74,76.74,0.0,2026-01-05,2026-02-24,57600.0,niumoney
70,40658,般诺波罗多,宏源期货,1.5338,52900.0,19500.0,53.38,18.34,93.68,426.48,0.0,2026-01-05,2026-02-24,28400.0,niumoney
71,38621,骆驼磐手★X,大越期货,1.0454,404099.99999999994,17600.0,4.54,10.11,87.51,5538.89,0.0,2026-01-05,2026-02-24,373600.0,niumoney
72,41098,修子阳,徽商期货,1.8516,11299.999999999998,17100.0,85.16,71.11,92.66,983.1,25900.0,2026-01-05,2026-02-24,119.43,niumoney
73,36774,贾南,国信期货,1.1142,38600.0,15600.0,11.42,30.36,87.22,1857.56,0.0,2026-01-05,2026-02-25,59900.0,niumoney
74,42092,随缘1224,创元期货,1.0217,2790.57,14900.0,2.17,15.47,56.08,10058.26,3511.73,2026-01-05,2026-02-13,686900.0,niumoney
75,35621,水平一般,东航期货,1.0155,965400.0000000001,14800.0,1.55,18.77,49.46,894.85,0.0,2026-01-05,2026-02-25,920900.0,niumoney
76,40786,期天,中航期货,1.0706,211100.0,13899.999999999998,7.06,5.31,88.89,0.0,0.0,2026-01-05,2026-02-24,193600.0,niumoney
77,40451,奔富,徽商期货,2.9563,20200.0,13400.0,195.63,24.16,95.55,414.45,0.0,2026-01-05,2026-02-24,7365.55,niumoney
78,40033,哈爱好哈2,宝城期货,0.578,198000.0,13000.0,-42.2,66.85,71.27,27.69,-18900.0,2026-01-05,2026-02-24,6797.9,niumoney
79,39894,秋月,徽商期货,2.4342,15900.0,12100.0,143.42,3.61,96.93,162.78,0.0,2026-01-05,2026-02-24,18900.0,niumoney
80,40835,公子倾城,东航期货,2.1488,23800.0,11800.0,114.88,9.39,96.22,6.11,0.0,2026-01-06,2026-02-10,5003.38,niumoney
81,40591,此刻,海通期货,1.2347,57500.0,10900.0,23.47,7.33,91.17,205.79,0.0,2026-01-05,2026-02-13,49300.0,niumoney
82,38642,骆驼磐手★B,大越期货,1.721,24000.0,10000.0,72.1,17.61,93.47,428.0,-2200.0,2026-01-05,2026-02-25,11700.0,niumoney
83,41789,凌云量化CTA,海证期货,1.0066,1527500.0,10000.0,0.66,13.47,55.25,6725.75,6404.4,2026-01-05,2026-02-24,1492000.0,niumoney
84,40209,时奕,长安期货,1.1456,76100.0,9672.92,14.56,14.14,89.18,1192.53,0.0,2026-01-05,2026-02-24,67900.0,niumoney
