rank,uid,nickname,company,net_value,equity,net_profit,profit_rate,max_drawdown,credit_score,total_fee,option_profit,start_date,update_date,start_equity,source
1,42318,无声A,徽商期货,236.6351,2242.35,296300.0,23563.51,29.95,97.71,1572.36,0.0,2026-01-05,2026-02-24,1173.81,niumoney
2,40620,18叔的江湖,中辉期货,2.6248,439400.0,282100.0,162.48,36.93,96.1,1851.55,-2767.0,2026-01-06,2026-02-24,65500.0,niumoney
3,40987,稳行-套利2号,国元海勤,2.0119,321200.0,161500.0,101.19,7.09,96.87,3093.5,1119.69,2026-01-05,2026-02-13,129200.0,niumoney
4,40583,科学家的梦想,方正中期,1.5129,438800.0,148800.0,51.29,8.61,95.12,1689.51,0.0,2026-01-05,2026-02-24,290100.0,niumoney
5,34287,信必得着,国联期货,1.8917,267300.0,126000.0,89.17,6.8,96.22,147.49,1795.0,2026-01-06,2026-02-25,151800.0,niumoney
6,41678,千裕鑫石,迈科期货,1.4386,357600.0,123900.0,43.86,13.58,94.27,4234.42,1177.77,2026-01-05,2026-02-24,285800.0,niumoney
7,40742,趋势冲浪,徽商期货,1.6248,180300.0,85200.0,62.48,21.64,94.71,1014.3000000000001,84.85,2026-01-06,2026-02-24,55100.0,niumoney
8,39547,毛线球小可爱,广发期货,1.2673,401000.0,83800.00000000001,26.73,4.69,92.58,775.99,0.0,2026-01-05,2026-02-24,341500.0,niumoney
9,42291,段力铭6,中辉期货,1.3536,253400.0,74300.0,35.36,18.43,92.82,15.12,0.0,2026-01-05,2026-02-24,151600.0,niumoney
10,41009,初心,华鑫期货,2.1325,2677.82,69400.0,113.25,29.52,95.49,410.4,117600.0,2026-01-05,2026-02-24,49400.00000000001,niumoney
11,39295,期魔传说,华闻期货,0.8557,345800.0,62800.0,-14.43,49.33,0.0,5103.05,17300.0,2026-01-06,2026-02-24,148600.0,niumoney
12,42280,段力铭3,东航期货,1.3042,283500.0,61000.0,30.42,19.24,92.07,22.68,172.8,2026-01-05,2026-02-24,171500.0,niumoney
13,42160,本色-交易,徽商期货,2.1419,110399.99999999999,58800.0,114.19,22.6,95.83,1032.35,0.0,2026-01-05,2026-02-24,48600.0,niumoney
14,40249,随波冲浪,长安期货,1.8224,0.14,56500.0,82.24,0.0,96.53,71.45,0.0,2026-01-09,2026-02-24,130700.0,niumoney
15,42281,段力铭4,中信建投,1.3935,194600.0,55599.99999999999,39.35,14.78,93.35,22.68,55.09,2026-01-06,2026-02-13,151500.0,niumoney
16,41707,湫兮如风,中衍期货,2.0818,138.57,41300.0,108.18,87.92,93.25,2956.62,23200.0,2026-01-05,2026-02-24,408.65,niumoney
17,42279,霖,冠通期货,4.7896,50300.0,39800.0,378.96,0.32,98.46,56.39,0.0,2026-01-05,2026-02-13,10500.0,niumoney
18,36525,言道一二,恒泰期货,2.9398,19600.0,38200.0,193.98,4.12,97.87,461.66,8640.0,2026-01-05,2026-02-25,31.51,niumoney
19,40820,kyle_梁生,中信建投,1.3577,20800.0,35600.0,35.77,64.41,90.7,5194.42,770.0,2026-01-05,2026-02-24,37500.0,niumoney
20,42169,大宗师智量1号,象屿期货,1.344,137900.0,35300.0,34.4,30.29,91.44,43.8,-4500.0,2026-01-05,2026-02-24,98100.0,niumoney
21,42310,段力铭9,华安期货,1.1544,293700.0,34600.0,15.44,20.19,89.44,22.68,276.0,2026-01-05,2026-02-24,132900.0,niumoney
22,42292,段力铭7,金汇期货,1.4414,303400.0,27500.0,44.14,16.55,93.61,15.12,104.12,2026-01-05,2026-02-24,151500.0,niumoney
23,42278,段力铭2,鲁证期货,1.0598,193400.0,24300.0,5.98,18.9,87.55,22.68,109.33,2026-01-05,2026-02-24,151500.0,niumoney
24,35625,蓝海,徽商期货,2.0986,7700.19,23500.0,109.86,42.65,94.17,686.68,-3715.0,2026-01-07,2026-02-13,28500.0,niumoney
25,41115,zhuiyunshou,华鑫期货,1.3926,80800.0,21700.0,39.26,31.34,91.74,76.74,0.0,2026-01-05,2026-02-24,57600.0,niumoney
26,40658,般诺波罗多,宏源期货,1.5338,52900.0,19500.0,53.38,18.34,93.68,426.48,0.0,2026-01-05,2026-02-24,28400.0,niumoney
27,38621,骆驼磐手★X,大越期货,1.0454,404099.99999999994,17600.0,4.54,10.11,87.51,5538.89,0.0,2026-01-05,2026-02-24,373600.0,niumoney
28,41098,修子阳,徽商期货,1.8516,11299.999999999998,17100.0,85.16,71.11,92.66,983.1,25900.0,2026-01-05,2026-02-24,119.43,niumoney
29,36774,贾南,国信期货,1.1142,38600.0,15600.0,11.42,30.36,87.22,1857.56,0.0,2026-01-05,2026-02-25,59900.0,niumoney
30,40786,期天,中航期货,1.0706,211100.0,13899.999999999998,7.06,5.31,88.89,0.0,0.0,2026-01-05,2026-02-24,193600.0,niumoney
31,40451,奔富,徽商期货,2.9563,20200.0,13400.0,195.63,24.16,95.55,414.45,0.0,2026-01-05,2026-02-24,7365.55,niumoney
32,40033,哈爱好哈2,宝城期货,0.578,198000.0,13000.0,-42.2,66.85,71.27,27.69,-18900.0,2026-01-05,2026-02-24,6797.9,niumoney
33,39894,秋月,徽商期货,2.4342,15900.0,12100.0,143.42,3.61,96.93,162.78,0.0,2026-01-05,2026-02-24,18900.0,niumoney
34,40835,公子倾城,东航期货,2.1488,23800.0,11800.0,114.88,9.39,96.22,6.11,0.0,2026-01-06,2026-02-10,5003.38,niumoney
35,40591,此刻,海通期货,1.2347,57500.0,10900.0,23.47,7.33,91.17,205.79,0.0,2026-01-05,2026-02-13,49300.0,niumoney
36,38642,骆驼磐手★B,大越期货,1.721,24000.0,10000.0,72.1,17.61,93.47,428.0,-2200.0,2026-01-05,2026-02-25,11700.0,niumoney
37,40209,时奕,长安期货,1.1456,76100.0,9672.92,14.56,14.14,89.18,1192.53,0.0,2026-01-05,2026-02-24,67900.0,niumoney
38,41680,没名字,华安期货,0.5029,93000.0,9223.94,-49.71,55.06,70.01,122.81,0.0,2026-01-05,2026-02-24,5213.87,niumoney
39,40885,三棵树,安粮期货,31.7872,8870.73,8118.22,3078.72,14.66,97.16,158.25,43.0,2026-01-05,2026-02-24,10400.0,niumoney
40,41053,三角洲真法,华鑫期货,1.1756,40500.0,7722.5,17.56,9.07,90.11,2.5,-1422.5,2026-01-05,2026-02-24,53400.0,niumoney
41,41259,栾明,海通期货,1.384,24800.0,6976.83,38.4,11.91,92.37,3.17,-900.0,2026-01-05,2026-02-24,17000.0,niumoney
42,42111,鲨鱼的吻,渤海期货,1.6767,17100.0,6855.11,67.67,21.55,93.49,69.25,36.42,2026-01-05,2026-02-24,4430.99,niumoney
43,38919,有梦想的阿甘,弘业期货,0.7864,129100.0,6787.8,-21.36,50.55,0.0,112.2,0.0,2026-01-05,2026-02-24,122400.0,niumoney
44,41669,海王,东吴期货,0.9884,129900.0,6721.59,-1.16,10.27,84.19,268.36,-8770.0,2026-01-05,2026-02-24,19600.0,niumoney
45,40767,纹心石,中辉期货,1.5521,18200.0,6479.23,55.21,19.65,92.96,312.55,0.0,2026-01-09,2026-02-24,14300.0,niumoney
46,41160,源泉1号,招金期货,1.0351,208900.0,6208.5,3.51,4.09,87.02,656.22,4205.0,2026-01-05,2026-02-13,106900.0,niumoney
47,40779,一只小白羊,东航期货,1.1568,45599.99999999999,6176.88,15.68,5.34,89.72,47.94,0.0,2026-01-06,2026-02-24,33500.0,niumoney
48,42154,心雨资本,长江期货,0.9028,21100.0,4130.43,-9.72,52.41,77.63,147.81,0.0,2026-01-05,2026-02-24,28500.0,niumoney
