rank,uid,nickname,company,net_value,equity,net_profit,profit_rate,max_drawdown,credit_score,total_fee,option_profit,start_date,update_date,start_equity,source
1,39634,LAL@2,中衍期货,1.0936,2557400.0,-810400.0000000001,9.36,31.37,47.25,12011.37,584500.0,2026-01-05,2026-02-24,2865899.9999999995,niumoney
2,42155,SBCC,海证期货,0.7507,15078000.0,-3745899.9999999995,-24.93,39.94,12.5,46444.23,554200.0,2026-01-06,2026-02-24,19243200.0,niumoney
3,38014,大漠孤烟,徽商期货,1.2175,8705100.0,2960299.9999999995,21.75,10.25,78.58,23401.98,368900.0,2026-01-05,2026-02-24,10918100.0,niumoney
4,34414,东北角1,永安期货,0.6402,2922900.0,-2276900.0,-35.98,43.6,10.78,41431.81,232100.0,2026-01-05,2026-02-25,4450200.0,niumoney
5,40164,轮回,徽商期货,0.931,55481000.0,-1493500.0,-6.9,23.25,28.97,397162.29,152600.0,2026-01-06,2026-02-24,52214300.0,niumoney
6,42110,培元,万达期货,0.7948,36729700.0,-6554400.000000001,-20.52,27.56,15.49,190586.15,120300.0,2026-01-05,2026-02-24,36806600.0,niumoney
7,41009,初心,华鑫期货,2.1325,2677.82,69400.0,113.25,29.52,95.49,410.4,117600.0,2026-01-05,2026-02-24,49400.00000000001,niumoney
8,40777,CCTV雪松复利,东吴期货,1.0252,3953399.9999999995,54100.0,2.52,10.24,59.8,5379.06,75100.0,2026-01-05,2026-02-24,4170100.0,niumoney
9,42059,奇获进取,广发期货,0.9727,999200.0,-29300.0,-2.73,10.72,47.3,127788.53,60900.0,2026-01-05,2026-02-24,1058200.0,niumoney
10,41166,海通合肥N01,海通期货,2.096,5105800.0,7010900.0,109.6,73.55,81.76,2632.09,60000.0,2026-01-07,2026-02-24,6716400.0,niumoney
11,40904,随意咔咔,瑞龙期货,2.2145,1151400.0,1714100.0,121.45,73.57,80.69,1106.55,52000.0,2026-01-05,2026-02-24,341000.0,niumoney
12,40763,atm,方正中期,0.8678,1456900.0,-188400.0,-13.22,33.23,22.6,7353.18,43600.0,2026-01-05,2026-02-11,1340200.0,niumoney
13,39244,老车,徽商期货,0.079,150.65,-43300.0,-92.1,96.66,0.0,2506.4100000000003,36100.0,2026-01-07,2026-02-25,40400.0,niumoney
14,42127,亿佳信量化1号,金谷期货,1.046,16159900.0,715900.0,4.6,7.61,67.75,25040.31,30200.0,2026-01-05,2026-02-13,14361700.0,niumoney
15,40613,润木资产,宝城期货,1.2014,17572800.0,2987799.9999999995,20.14,24.65,73.24,42332.26,26700.0,2026-01-05,2026-02-24,12310300.0,niumoney
16,41098,修子阳,徽商期货,1.8516,11299.999999999998,17100.0,85.16,71.11,92.66,983.1,25900.0,2026-01-05,2026-02-24,119.43,niumoney
17,40220,范范1,长安期货,0.8708,17900.0,-6415.64,-12.92,12.92,74.45,995.6399999999999,25400.0,2026-02-10,2026-02-24,49700.0,niumoney
