rank,nickname,equity,net_profit,max_drawdown,日净值,net_value,净值得分,credit_score,profit_rate,指定交易商,操作指导,账户评估,source
1,弱水三千,399375.6,100.0,64.76346,0.96850,5.90017,100.00000,94.71452,109.1,中国国际期货(香港),,账户评估,qhrb
2,岁月静好,160244.3,81.76607,67.5367,0.81083,5.47673,97.61860,89.14318,102.45,横华国际,,账户评估,qhrb
3,双赢一秒引爆8,6844.1,67.91872,85.15498,1.40591,5.6432,98.57922,88.90046,189.56,ATFX,,账户评估,qhrb
4,马先生,117332.19,77.48898,90.53834,1.00314,3.5107,87.27954,85.32072,162.13,直达国际金融,,账户评估,qhrb
5,小流星,1837.23,60.98555,84.99184,0.94213,3.67456,88.22689,80.9313,95.97,TRADEMAX,,账户评估,qhrb
6,lyt2000,105032.61,76.72931,83.19739,1.04121,2.55788,81.97806,80.84877,105.24,中国国际期货(香港),,账户评估,qhrb
7,盈冠系統,9825.02,63.43813,69.49429,1.00016,3.47852,87.00173,78.48471,43.68,六福金融,,账户评估,qhrb
8,重试江湖,15735.2,66.39408,84.82871,0.87295,2.47246,81.31535,78.11204,65.75,香港金山期货,,账户评估,qhrb
9,fortune teller,1393.51,68.5439,65.08972,0.81325,3.12286,85.07915,77.94692,147.55,美国盈透证券,,账户评估,qhrb
10,john,153515.34,73.78205,91.51713,1.00638,1.61121,75.68012,77.58116,44.37,中国国际期货(香港),,账户评估,qhrb
11,来日方长,35663.83,74.48266,54.323,0.96783,2.94675,84.06950,77.21082,195.71,美国盈透证券,,账户评估,qhrb
12,puppylsy,54573.35,72.282,81.07667,1.01330,1.88113,77.96610,77.01166,75.55,美国盈透证券,,账户评估,qhrb
13,豹子,82377.84,72.98174,74.06199,1.00362,1.9647,78.50521,76.45786,65.05,直达国际金融,,账户评估,qhrb
14,自然而然,97.39,63.18596,93.80098,1.00000,1.74283,76.80613,75.95031,44.93,老虎期货,,账户评估,qhrb
15,好朋友一起来,62967.08,71.01739,80.75041,0.99298,1.72935,76.50920,75.77243,54.3,浙商香港,浙商肖熠,账户评估,qhrb
16,sterno,14525.53,65.90963,83.19739,0.97747,1.81892,77.53559,75.47837,55.76,美国盈透证券,,账户评估,qhrb
17,期飞股跳,36061.61,69.58664,83.52365,1.01680,1.53333,74.94156,74.89014,42.03,直达国际金融,,账户评估,qhrb
18,明哥,69164.88,68.40629,92.82219,0.99917,1.28182,71.60727,73.98926,24.84,弘苏期货,,账户评估,qhrb
19,郭卫红,69547.56,69.41217,81.7292,0.99646,1.39831,73.22730,73.5488,32.58,浙商香港,浙商肖熠,账户评估,qhrb
20,董春明,28680.61,68.26111,69.16803,0.97794,1.73509,76.65258,73.43203,50.16,浙商香港,浙商肖熠,账户评估,qhrb
21,独行dx,25997.11,69.1968,72.92007,1.07772,1.56038,75.19329,73.35318,60.11,美国盈透证券,,账户评估,qhrb
22,张瑶,110180.92,71.37859,78.62969,1.03025,1.35948,72.68729,73.25147,29.4,浙商香港,浙商肖熠,账户评估,qhrb
23,程晓莉,65255.12,71.6444,75.85644,1.00134,1.36551,72.83214,72.98885,30.98,浙商香港,浙商肖熠,账户评估,qhrb
24,通琨全球股指量化专户-积极,82059.44,68.68624,90.04894,1.00435,1.23805,70.47117,72.9616,22.08,美国盈透证券,通琨投资,账户评估,qhrb
25,静静地套,87651.77,72.47119,57.25938,1.42038,1.758,76.99745,72.90517,59.59,香港金山期货,,账户评估,qhrb
26,神东,5254.49,62.56639,79.60848,1.03040,1.56616,75.33687,72.78499,50.0,中国国际期货(香港),,账户评估,qhrb
27,云海山庄,26367.9,65.66631,86.94943,1.04690,1.31885,72.13812,72.74187,25.44,浙商香港,,账户评估,qhrb
28,尚水9号,0.0,64.25532,55.95432,1.00000,2.28009,80.22303,72.5908,40.14,直达国际金融,,账户评估,qhrb
29,期权8号,12597.97,62.68834,96.24796,1.00000,1.24617,70.74085,72.55379,20.71,美国盈透证券,,账户评估,qhrb
30,那年梨花正纷飞,13194.81,63.97991,80.26101,1.01652,1.45725,74.09795,72.4929,32.75,直达国际金融,,账户评估,qhrb
31,高处风云,56020.63,68.14269,79.28222,1.06328,1.35701,72.44635,72.39581,29.48,浙商香港,浙商国际研究中心,账户评估,qhrb
32,simon,446740.78,65.13453,87.60196,1.01193,1.27001,71.09044,72.07819,2.43,美国盈透证券,,账户评估,qhrb
33,小强还活着,4312.3,61.21445,82.54486,1.00748,1.45563,73.97552,72.07066,39.2,横华国际,,账户评估,qhrb
34,糖棠,4734.3,61.45026,82.70799,1.00000,1.43059,73.61982,71.94065,32.85,老虎期货,,账户评估,qhrb
35,winters,16870.73,66.69203,41.76183,1.00367,2.50665,81.60339,71.89931,129.39,老虎期货,,账户评估,qhrb
36,杨清,100.0,62.04664,87.92822,1.00000,1.30071,71.93170,71.85991,26.11,国王金融,,账户评估,qhrb
37,王素芹,44243.69,67.25404,73.0832,0.97409,1.39651,73.10396,71.63837,30.48,浙商香港,浙商肖熠,账户评估,qhrb
38,朱艳,53595.25,66.54059,86.46003,1.02081,1.22138,70.04383,71.63045,21.38,浙商香港,浙商肖熠,账户评估,qhrb
39,祁瑞芝,95281.6,70.19581,73.57259,0.99664,1.28498,71.73752,71.62735,24.48,浙商香港,浙商肖熠,账户评估,qhrb
40,心态决定命运,0.0,69.72051,67.37357,1.00000,1.42519,73.47817,71.62307,39.78,中国新永安期货,/,账户评估,qhrb
41,嘿嘿朱小涛,6660.68,63.05115,66.23165,1.00000,1.68672,76.17826,71.40449,37.07,狮子金融,,账户评估,qhrb
42,陈玉荣,36804.89,67.50672,64.27406,1.00363,1.52847,74.80265,71.39938,43.96,浙商香港,浙商肖熠,账户评估,qhrb
43,祁瑞刚,104609.44,69.83505,77.6509,0.99957,1.23567,70.34488,71.31332,20.61,浙商香港,浙商肖熠,账户评估,qhrb
44,应,11490.92,63.57935,70.47308,1.05815,1.43627,73.76289,70.72353,27.36,横华国际,,账户评估,qhrb
45,三娃儿,2612.54,59.2035,85.64437,0.99524,1.28063,71.48702,70.53975,24.92,横华国际,,账户评估,qhrb
46,KevinYD,72256.57,65.54363,81.40294,0.99996,1.21097,69.64833,70.38534,10.59,美国盈透证券,,账户评估,qhrb
47,grant,7139.0,59.79151,96.73736,1.00000,1.11931,68.15454,70.3512,11.48,直达国际金融,,账户评估,qhrb
48,抱朴守拙,2334.44,61.33282,92.16966,1.00000,1.1269,68.64990,70.34859,12.12,美国盈透证券,,账户评估,qhrb
49,归来游子,41011.92,63.3215,94.61664,0.99952,1.08395,67.17540,70.32811,8.16,横华国际,,账户评估,qhrb
50,宁代旭,28529.3,64.74348,81.56607,1.00266,1.21298,69.77274,70.28442,18.94,中国新永安期货,陈熙宁,账户评估,qhrb
