rank,nickname,equity,risk_ratio,net_profit,max_drawdown,日净值,net_value,净值得分,credit_score,profit_rate,指定交易商,操作指导,账户评估,source
1,封号斗罗,43238.93,0.0,68.76293,87.73012,0.96970,153.47835,100.00000,92.5256,558.98,大陆期货,神剑山庄,账户评估,qhrb
2,燕夕,208232.69,0.0,100.0,90.54849,1.00000,2.03464,69.31496,77.57532,228.62,招金期货,,账户评估,qhrb
3,2333,71756.51,105.268,68.99332,87.68584,1.09731,36.49475,77.13132,76.55917,356.92,方正中期期货,,账户评估,qhrb
4,沧海一粟888,135041.69,0.0,70.55642,99.53185,1.01848,24.82806,74.84864,76.45852,329.24,徽商期货,,账户评估,qhrb
5,权益的游戏,4735.35,0.0,67.53335,98.68413,1.10971,22.23096,74.33878,75.41223,324.99,华安期货,,账户评估,qhrb
6,由势18载,149429.21,0.0,84.38659,87.45809,1.13798,2.60079,69.95703,74.59305,101.18,大陆期货,,账户评估,qhrb
7,梦莉,239853.72,79.545,73.0519,94.16398,0.93031,11.29169,72.19608,74.56404,243.29,国贸期货,梦莉,账户评估,qhrb
8,惊鸿一瞥,4072.39,0.0,73.17319,98.4121,1.01036,7.64648,71.45478,74.49419,207.72,申银万国期货,,账户评估,qhrb
9,钧凌基金,1520835.37,60.832,76.97808,84.76308,1.00122,11.18038,72.17211,74.3924,181.11,中信建投期货,,账户评估,qhrb
10,宋女士,304465.64,125.894,87.37842,83.02018,0.94308,2.05623,69.33689,74.31352,199.78,大越期货,,账户评估,qhrb
11,雨后的树林,914569.16,92.92,77.75698,91.85487,1.05398,4.64399,70.78818,74.28861,179.52,方正中期期货,,账户评估,qhrb
12,jxzbpt42,5889198.47,0.0,81.65024,98.01354,1.00282,1.74459,68.58736,74.14255,66.14,建信期货,,账户评估,qhrb
13,爬山虎,2418752.14,0.0,77.58375,88.59999,1.00000,5.3922,70.98093,74.0634,127.72,渤海期货,,账户评估,qhrb
14,苦瓜灬有点甜丶,321808.46,0.0,73.82526,94.09439,1.00026,6.0693,71.12656,73.96308,269.05,瑞达期货,,账户评估,qhrb
15,重庆2022,505022.07,70.29,73.3252,91.31397,1.02147,8.17096,71.56616,73.89275,202.11,徽商期货,王一刀,账户评估,qhrb
16,郭*,100.0,0.0,78.18944,88.66641,1.00000,3.77484,70.53194,73.87689,193.25,安粮期货,,账户评估,qhrb
17,李文丽,1043009.56,87.001,74.11836,94.14184,1.02814,4.34744,70.70808,73.73351,130.78,中信建投期货,,账户评估,qhrb
18,昨天的路,1008083.99,56.126,74.00574,88.08439,0.99449,8.30834,71.59744,73.72779,110.22,一德期货,,账户评估,qhrb
19,期市丽人,2204372.38,33.857,76.71488,86.92351,1.00169,4.83561,70.84114,73.62412,96.54,英大期货,,账户评估,qhrb
20,朱x,2545636.55,106.468,76.23919,92.72791,1.00664,2.77208,70.09016,73.58374,83.15,国海良时期货,,账户评估,qhrb
21,顺其自然,121247.26,41.71,70.28303,95.71392,0.99345,7.10305,71.33970,73.56579,234.38,安粮期货,林老师,账户评估,qhrb
22,老金5,767589.9,32.64,74.66071,90.92491,0.97828,4.45995,70.74335,73.54498,172.63,海证期货,,账户评估,qhrb
23,张玉珍,1030494.57,88.057,74.38241,96.58063,1.02639,2.62615,69.97527,73.51724,112.12,中信建投期货,,账户评估,qhrb
24,无名英雄_327,824061.74,0.0,79.8068,96.07452,1.00000,1.71312,68.49264,73.51366,45.08,海通期货,,账户评估,qhrb
25,胡**,126997.88,70.074,70.43497,94.36958,1.01582,7.35978,71.39431,73.49997,227.11,安粮期货,,账户评估,qhrb
26,陈**,2985859.76,103.037,83.55379,74.50497,1.02034,3.28257,70.35379,73.40891,228.18,安粮期货,,账户评估,qhrb
27,兵贵神速,1008771.26,74.905,73.40122,93.86348,1.02039,3.57954,70.47384,73.39828,129.71,渤海期货,,账户评估,qhrb
28,银海,2324277.83,90.189,75.3858,93.85083,1.04778,2.54472,69.90179,73.39349,76.56,中国国际期货,,账户评估,qhrb
29,祥子,1125180.96,0.0,73.73466,95.85627,1.03525,2.67557,70.01815,73.34526,103.19,首创期货,佟远明,账户评估,qhrb
