rank,uid,nickname,company,net_value,equity,avg_equity,profit_rate,max_drawdown,credit_score,annualized_return,win_rate,start_date,update_date,source
1,24746,牛皮卡拉车,江海汇鑫,128.1229,439400.0,195200.0,12712.29,98.21,99.8,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
2,7375,游离子,徽商期货,70.5672,195200.0,83100.0,6956.72,38.92,99.7,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
3,6614,麦田投资,徽商期货,70.5085,952700.0,342900.0,6950.85,88.53,99.6,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
4,11689,spritetu,长江期货,53.8341,3235400.0,1195800.0,5283.41,30.36,136.3,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
5,12477,敦朴主观一号,光大期货,41.1454,329900.0,315900.0,4014.54,34.19,99.9,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
6,20715,一蓑烟雨任平生3,山金期货,38.1307,9148.46,132600.0,3713.07,60.44,99.2,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
7,22661,lyg5200,徽商期货,34.8963,146.63,8731.15,3389.63,59.91,99.1,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
8,22799,鹧鸪天,华安期货,27.9791,459900.0,212399.99999999997,2697.91,55.3,99.0,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
9,18393,六六,华安期货,27.4276,343100.0,18100.0,2642.76,50.87,98.9,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
11,20715,一蓑烟雨任平生6,信达期货,16.9135,56000.0,64100.0,1591.35,79.19,98.6,0.0,0.0,2025-08-01,2026-02-25,qihuo7hcn
12,20614,富景泽臻日内趋势,西南期货,15.7944,916700.0,113500.0,1479.44,99.88,98.5,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
13,12946,Survivor5,华闻期货,13.3852,2958.94,44000.0,1238.52,68.67,98.4,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
14,12102,刘慧兵,方正中期,13.3348,380200.00000000006,104000.0,1233.48,75.28,98.3,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
15,22920,Melin,东航期货,13.1779,5299700.0,1606200.0,1217.79,37.38,126.3,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
16,23529,财神二号,民生期货,12.3719,2267.05,19900.0,1137.19,90.08,98.1,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
17,9039,如风,金元期货,11.3768,11100.000000000002,6412.41,1037.68,89.68,98.0,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
18,23045,莫MMM,广发期货,11.1038,1011.0,46500.0,1010.38,44.95,97.9,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
19,6635,chillysnow,中原期货,10.7224,573.29,9245.49,972.24,68.05,97.8,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
20,16261,DHSZ,国泰君安,10.5725,16.63,1011.03,957.25,40.43,97.7,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
21,22967,全笔记L,民生期货,10.5334,17452800.0,7233400.0,953.34,46.25,140.9,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
22,20686,gary021293,南华期货,9.3871,0.0,20900.0,838.71,27.0,120.6,0.0,0.0,2025-07-01,2026-02-24,qihuo7hcn
23,24093,机械师1 天风,天风期货,9.3121,1.06,146600.0,831.21,68.08,97.4,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
24,22441,博哥的TT,大陆期货,8.9122,787099.9999999999,673199.9999999999,791.22,4.57,108.2,0.0,0.0,2025-12-10,2026-02-25,qihuo7hcn
25,16652,尤溪大条面2号,宏源期货,8.8897,0.44,397.09,788.97,21.25,97.1,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
