rank,uid,nickname,company,net_value,equity,avg_equity,profit_rate,max_drawdown,credit_score,annualized_return,win_rate,start_date,update_date,source
1,21937,迪马,方正中期,2.1553,21640800.0,15002800.0,115.53,6.04,204.9,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
2,21463,chenq1,信达期货,3.9769,19437600.0,12525900.0,297.69,14.58,202.5,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
3,21463,小笨专户一号,东航期货,2.7668,37107500.0,15758900.000000002,176.68,12.29,198.9,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
4,23398,liwenyan五矿,五矿期货,4.2481,101000000.0,128000000.0,324.81,18.45,193.9,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
5,16879,南华JM,南华期货,3.5969,1348300.0000000002,844400.0,259.69,5.94,192.8,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
6,10231,心灵基金,东航期货,1.8556,11021500.0,7964600.0,85.56,6.51,192.5,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
7,23398,长量爱飞1号,华泰期货,3.4947,72512100.0,37430300.0,249.47,17.33,192.4,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
8,21845,玄铁重剑,国投安信,1.6899,24044300.0,14990200.0,68.99,5.5,191.0,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
9,21931,传奇地选王2号,光大期货,2.1902,5529500.0,3959100.0000000005,119.02,9.34,188.4,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
10,23277,联唐一号,国信期货,2.6106,3730800.0,3642500.0,161.06,12.85,186.9,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
11,7270,顺轻止,申银万国,4.1483,19800.0,16500.0,314.83,3.49,186.4,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
12,6811,聂成五矿,五矿期货,2.2811,18198500.0,13088400.0,128.11,14.21,186.2,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
13,23657,酋长在路上,民生期货,4.085,16228699.999999998,11173400.0,308.5,19.32,185.8,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
