rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,天禾1号,,10000000000.0,145.76,45862900.0,50.4,1.39,2014-10-24,2021-04-09,qihuo7hcn
2,林岩,,10000000000.0,351.34,188000000.0,52.19,2382.59,2016-06-14,2024-06-06,qihuo7hcn
3,壁虎资本,,7116000000.0,1223.68,23816300.0,64.09,3469200.0,2014-07-21,2026-02-25,qihuo7hcn
4,点石成金中信期货金球1号,,6830000000.0,763.75,45290200.00000001,69.65,1119.9,2020-01-10,2024-06-06,qihuo7hcn
5,xmkyx,,6773000000.0,170.64,118000000.0,42.14,1001.0,2014-04-28,2024-06-06,qihuo7hcn
6,南方人,,6433000000.0,690.57,24804200.0,78.12,14669700.0,2019-07-01,2026-02-25,qihuo7hcn
7,君翊CTA进取1号,,5894000000.0,517.92,45214500.0,58.12,8561900.0,2018-08-27,2024-06-06,qihuo7hcn
8,一颗星14华安凡,,5193000000.0,244.17,69592800.0,61.64,26700.0,2017-08-31,2025-04-24,qihuo7hcn
9,谭sir中信,,4792000000.0,182.46,85212400.0,67.53,163600.0,2019-04-10,2026-02-05,qihuo7hcn
10,盘前计划续,,4775000000.0,98.71,199000000.0,44.82,306200.0,2019-10-31,2025-11-24,qihuo7hcn
11,一颗星15徽商,,4232000000.0,47.49,155000000.0,57.06,70100.0,2013-12-31,2025-12-18,qihuo7hcn
12,凯泽投资,,3692000000.0,111.7,37679700.0,57.26,40900.0,2013-02-22,2019-05-28,qihuo7hcn
13,盘前计划2,,2958000000.0,235.38,55650600.00000001,50.67,66.13,2020-03-24,2023-08-07,qihuo7hcn
14,希望在转角1,,2851000000.0,226.32,27679200.0,24.1,16879400.0,2012-09-19,2026-02-09,qihuo7hcn
15,黑猫白猫金融工作室,,2629000000.0,584.24,15799800.0,38.89,216.66,2019-01-28,2024-06-06,qihuo7hcn
16,持赢投资,,2591000000.0,1268.08,16102200.0,54.04,0.0,2012-05-18,2021-04-07,qihuo7hcn
17,凡格金工专户1号,,2474000000.0,865.69,13446099.999999998,52.91,0.0,2014-12-24,2023-08-07,qihuo7hcn
18,投资在线2号,,2437000000.0,1464.86,5133300.0,85.61,641.54,2013-09-25,2021-04-09,qihuo7hcn
19,妙为为三,,2423000000.0,105.44,28482800.000000004,52.77,400.0,2012-05-14,2021-04-06,qihuo7hcn
20,期货小草,,2305000000.0,42.11,202999999.99999997,41.22,2054900.0,2016-11-18,2025-03-03,qihuo7hcn
21,L,,2277000000.0,255.99,35531800.0,54.86,769.64,2018-08-31,2025-08-29,qihuo7hcn
22,美好投资,,2060000000.0000002,1672.48,7315599.999999999,44.59,7.92,2012-10-11,2021-04-06,qihuo7hcn
23,山泰一号,,2039000000.0,7546.36,1778200.0,100.0,46.68,2013-02-18,2021-04-09,qihuo7hcn
24,在赢投资-灰太郎,,1989999999.9999998,296.21,15592000.0,44.09,63700.0,2014-04-08,2024-06-06,qihuo7hcn
25,小农夫,,1919000000.0000002,271.91,30423100.0,45.99,66100.0,2019-06-26,2024-06-06,qihuo7hcn
26,老火鸡,,1904000000.0,378.34,16537500.0,37.49,66252200.0,2016-01-04,2026-02-03,qihuo7hcn
27,宏源一号,,1889000000.0,635.31,5078800.0,61.28,5288.48,2013-12-03,2024-06-06,qihuo7hcn
28,shhuanghuang,,1677000000.0,232.23,22046800.0,56.18,0.0,2015-06-01,2024-05-14,qihuo7hcn
29,妙为RS001,,1499000000.0,99.82,27587000.0,55.49,108.96,2012-06-11,2021-04-06,qihuo7hcn
30,心行者★男主角之惠风和昶,,1488000000.0,1648.45,5089500.0,54.06,1216500.0,2020-02-18,2026-02-02,qihuo7hcn
31,小小的韭菜1,,1430000000.0,69.35,86446100.0,26.33,1053900.0,2018-02-28,2022-05-26,qihuo7hcn
32,金毛狮王,,1429000000.0,130.83,44519100.0,53.76,1192000.0,2018-08-24,2025-09-30,qihuo7hcn
33,辣可不一样,,1422000000.0,718.38,6746200.0,47.93,2.04,2014-06-16,2024-06-06,qihuo7hcn
34,啥也不是,,1172000000.0,173.3,6919500.0,34.01,1108100.0,2020-07-06,2026-02-04,qihuo7hcn
35,haihai,,1169000000.0,312.15,15228800.000000002,45.45,2780.41,2018-03-02,2024-06-06,qihuo7hcn
36,浪花三号,,1168000000.0,320.5,12628100.0,58.24,86645900.0,2014-03-11,2026-02-03,qihuo7hcn
37,tonect,,1153000000.0,147.51,24754800.0,33.08,1163.6,2016-03-24,2024-06-06,qihuo7hcn
38,心行者&云在青天水在瓶,,1149000000.0,593.7,9033400.0,42.49,2917799.9999999995,2019-03-06,2026-02-24,qihuo7hcn
39,嘉星飒露紫,,1128000000.0,925.54,4629500.0,46.95,251600.0,2019-03-04,2025-06-30,qihuo7hcn
40,姐姐,,1118000000.0,413.09,10303900.000000002,56.34,467600.0,2016-09-13,2025-12-29,qihuo7hcn
41,103606141,,1086000000.0,138.11,22879300.0,44.27,2922900.0,2013-10-08,2026-02-25,qihuo7hcn
42,零点讲台-汇融zb,,1071000000.0000001,170.27,25155500.0,60.19,1835.81,2019-11-29,2024-06-06,qihuo7hcn
43,孙远山1,,1059000000.0,4279.49,967000.0,74.6,504.12,2018-12-27,2024-06-06,qihuo7hcn
44,恩泽1号证券投资私募基金,,1049000000.0,2440.86,1529700.0,30.6,0.0,2019-11-11,2023-08-07,qihuo7hcn
45,f六年,,1046000000.0000001,1293.68,2737700.0,51.48,37059500.0,2012-11-29,2015-06-02,qihuo7hcn
46,固利资产趋势为王,,1007000000.0,37.6,61043400.0,59.63,1544700.0,2013-11-18,2026-02-10,qihuo7hcn
47,善泽标准,,989000000.0,4474.69,829500.0,100.0,0.63,2014-02-14,2021-04-09,qihuo7hcn
48,妙为-ZMF,,975000000.0,132.37,9742200.0,53.64,100.68,2012-07-19,2021-04-07,qihuo7hcn
49,心行者★秋霜切玉剑-金鞍五陵豪,,966000000.0,345.99,10125800.0,45.46,2920000.0,2017-04-17,2026-02-24,qihuo7hcn
50,双赢投资,,930000000.0000001,66.95,20764699.999999996,50.67,0.0,2012-09-07,2022-07-07,qihuo7hcn
