rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,小笨团队A,,8059999999.999999,207.02,115999999.99999999,48.38,35487700.0,2020-08-07,2026-02-25,qihuo7hcn
2,老火鸡,,6595999999.999999,1085.94,17775200.0,52.68,66252200.0,2016-01-04,2026-02-02,qihuo7hcn
3,厚德载物88,,2663000000.0,13.29,9922800.0,49.63,100700.0,2013-03-12,2026-02-04,qihuo7hcn
4,yuanaifei4,,2502000000.0,646.79,11438900.000000002,41.66,176.49,2014-11-10,2025-04-21,qihuo7hcn
5,開凰一号,,2012000000.0,6738.21,1363300.0000000002,100.0,223200.0,2021-12-03,2024-06-07,qihuo7hcn
6,天天,,1707000000.0,382.93,12587100.0,65.95,14900.0,2016-11-16,2025-11-03,qihuo7hcn
7,水木长量-兴证期货,,1655999999.9999998,484.34,10424500.0,43.32,28589000.0,2016-01-19,2026-02-02,qihuo7hcn
8,广州聚沙激进1号,,1291000000.0,3615.22,1780500.0,79.74,1353.49,2019-12-02,2024-06-07,qihuo7hcn
9,yuanaifei3,,1142000000.0,336.56,10619200.0,33.0,0.0,2014-07-23,2025-03-18,qihuo7hcn
10,小笨汪二哥,,1102000000.0,205.58,9301800.0,60.32,23630200.0,2020-09-07,2026-02-02,qihuo7hcn
11,盘前计划续,,1069000000.0,58.21,38295400.0,49.59,306200.0,2019-10-31,2025-11-20,qihuo7hcn
12,浩睿1号,,1063000000.0000001,408.4,7292200.0,52.08,1.36,2020-06-02,2024-06-06,qihuo7hcn
13,弄潮儿,,906000000.0,1116.11,2161000.0,57.23,66000.0,2016-04-22,2026-02-09,qihuo7hcn
14,段波,,889000000.0,1010.25,2573300.0,40.6,2403500.0,2019-12-30,2025-07-31,qihuo7hcn
15,猛虎下山,,852000000.0,58.08,39341100.0,40.8,174700.0,2016-06-20,2025-12-26,qihuo7hcn
16,英大振威3号,,788000000.0,1095.19,5826600.0,64.73,1.15,2014-02-28,2023-08-07,qihuo7hcn
17,流水不争先2,,744000000.0,1258.39,1807400.0,50.57,1060.5,2013-04-15,2024-06-06,qihuo7hcn
18,福州春哥-隐士摩期,,725000000.0,1325.97,1695300.0,62.8,0.56,2020-09-07,2024-06-07,qihuo7hcn
19,shipman1st,,680000000.0,540.02,3588000.0,78.46,399.76,2016-02-02,2021-04-09,qihuo7hcn
20,liang1980,,668000000.0,52.33,93000.0,94.53,0.0,2019-04-09,2022-05-06,qihuo7hcn
21,闲趣,,645000000.0,803.73,2341600.0,45.32,228.98,2015-04-16,2024-06-06,qihuo7hcn
22,tonect,,622000000.0,217.35,8455300.0,39.89,1163.6,2016-03-24,2024-06-06,qihuo7hcn
23,liupihao,,594000000.0,1329.4,1419100.0,62.11,1.7,2015-05-28,2021-04-09,qihuo7hcn
24,捕风,,561000000.0,103.33,10692200.0,42.21,1057.19,2016-11-25,2024-06-06,qihuo7hcn
25,李文艳,,542000000.0,275.22,5944400.000000001,32.16,6330800.0,2020-04-02,2025-09-18,qihuo7hcn
26,一颗星15徽商,,532000000.0,618.81,1468899.9999999998,62.92,70100.0,2013-12-31,2024-06-06,qihuo7hcn
27,海浪一号,,528000000.0,206.66,6863300.0,46.82,1014.24,2015-06-18,2024-06-06,qihuo7hcn
28,简单傻瓜,,521000000.0,484.47,3888600.0,50.66,1375.12,2013-07-04,2024-06-06,qihuo7hcn
29,与取投资1号,,520000000.0,187.83,6900000.0,32.21,21463700.0,2014-12-01,2021-06-10,qihuo7hcn
30,如意四点三,,517000000.0,641.1,2669400.0,39.81,1411000.0,2017-02-03,2026-02-25,qihuo7hcn
31,独行侠,,513000000.0,322.91,8926400.0,50.17,38.62,2011-04-22,2021-04-09,qihuo7hcn
32,rs2019,,501000000.0,9529.76,166000.0,100.0,0.65,2018-08-27,2024-06-06,qihuo7hcn
33,宝盈7号,,499000000.0,99.89,12823500.0,30.2,24779500.0,2016-07-18,2025-04-07,qihuo7hcn
34,君翊CTA进取1号,,482000000.0,829.11,1253900.0,56.52,8561900.0,2018-08-27,2024-06-06,qihuo7hcn
35,黑龙在渊,,426000000.0,763.73,1704800.0,48.36,1.0,2014-12-09,2024-06-06,qihuo7hcn
36,oyrb,,419000000.00000006,467.26,2582600.0,41.16,0.0,2014-06-04,2024-06-06,qihuo7hcn
37,李涛1号,,408000000.0,6.74,172000000.0,50.33,0.0,2020-09-18,2024-06-07,qihuo7hcn
38,cfxqm,,405999999.99999994,282.42,5344400.000000001,39.08,5459.17,2014-03-03,2024-11-11,qihuo7hcn
39,玄武盛和CTA壹号,,405000000.0,86.68,10955500.0,31.06,3064900.0,2015-10-23,2024-11-14,qihuo7hcn
40,鸿观量化,,400000000.0,655.11,2141100.0,47.47,0.0,2020-07-06,2024-06-07,qihuo7hcn
41,edsionchen002,,398000000.0,1290.24,1080800.0,61.67,1631.55,2012-11-02,2024-06-06,qihuo7hcn
42,稳健主观玩玩,,384000000.0,1112.3,1087300.0,53.47,0.0,2018-03-21,2024-06-06,qihuo7hcn
43,智瑶16,,384000000.0,654.82,862099.9999999999,79.52,0.0,2014-03-10,2024-06-06,qihuo7hcn
44,hzxsygj,,362000000.0,583.04,2117000.0,49.26,390800.0,2019-05-15,2024-07-18,qihuo7hcn
45,小笨12号,,362000000.0,1171.92,928199.9999999999,43.26,4412100.0,2020-08-07,2023-01-10,qihuo7hcn
46,小黑妞福星,,355000000.0,306.65,3287100.0,53.25,289200.0,2012-03-19,2018-07-03,qihuo7hcn
47,辣可不一样,,333000000.0,222.57,4592000.0,48.28,2.04,2014-06-16,2024-06-06,qihuo7hcn
48,heben2020,,330000000.0,250.39,3383300.0,56.47,216.52,2019-09-24,2022-11-25,qihuo7hcn
49,珠科彬彬,,328000000.0,367.48,2846400.0,45.17,4045.39,2016-05-09,2025-10-30,qihuo7hcn
50,九利投资,,327000000.0,825.67,1507600.0,49.47,205900.0,2014-05-12,2025-09-30,qihuo7hcn
