rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,点石成金中信期货金球1号,,8555000000.0,3320.27,22669600.0,69.36,1119.9,2020-01-10,2024-06-06,qihuo7hcn
2,天禾1号,,5979000000.0,227.53,77824900.0,42.71,1.39,2014-10-24,2021-04-09,qihuo7hcn
3,谭Sir,,5881000000.0,147.35,463999999.99999994,69.98,110.08,2017-10-16,2024-06-06,qihuo7hcn
4,天泓基金,,4841000000.0,1206.09,46832400.0,43.87,9354.25,2016-05-09,2024-06-06,qihuo7hcn
5,凡格金工专户1号,,2145000000.0,2701.46,9162100.0,58.77,0.0,2014-12-24,2023-08-07,qihuo7hcn
6,慈泓XT,,1823999999.9999998,2105.42,10847000.0,64.05,1632.47,2018-04-11,2024-06-06,qihuo7hcn
7,慈泓WNQ,,1717000000.0000002,4003.46,4233400.0,59.42,4752.06,2018-04-25,2024-06-06,qihuo7hcn
8,南华JM,,1704000000.0,2862.24,7111500.0,47.15,1348300.0000000002,2017-10-10,2026-01-27,qihuo7hcn
9,期货追影,,1671000000.0,233.67,23358500.0,43.14,55.02,2014-07-28,2026-01-29,qihuo7hcn
10,心宿二,,1593000000.0,1.71,321800.0,64.95,166000000.0,2018-03-22,2026-02-05,qihuo7hcn
11,凯泽投资,,1560000000.0,406.62,8846600.0,52.28,40900.0,2013-02-22,2019-05-28,qihuo7hcn
12,一颗星14华安凡,,1529000000.0,3373.84,1631600.0,81.63,26700.0,2017-08-31,2024-06-06,qihuo7hcn
13,tfzc,,1480000000.0,1962.16,9051800.0,100.0,6737.08,2013-01-29,2024-06-06,qihuo7hcn
14,xmkyx,,1407000000.0,235.76,12217700.0,42.49,1001.0,2014-04-28,2024-06-06,qihuo7hcn
15,风火山林999,,1404000000.0,1.27,432700.00000000006,43.36,94.54,2021-09-01,2024-06-11,qihuo7hcn
16,天际系统化,,1395000000.0,510.47,29619899.999999996,42.32,1.28,2011-12-12,2021-04-09,qihuo7hcn
17,安徽崇盛资产管理,,1144000000.0,6010.36,1860600.0,69.84,0.91,2013-10-08,2021-04-09,qihuo7hcn
18,雪花一号,,1081000000.0,1.02,492000.0,97.65,172.26,2018-02-05,2024-06-06,qihuo7hcn
19,红杉树,,1046000000.0000001,8852.74,924900.0,34.73,5392300.0,2021-04-16,2026-01-16,qihuo7hcn
20,双赢投资,,1027999999.9999999,448.43,6789400.000000001,57.34,0.0,2012-09-07,2022-07-07,qihuo7hcn
21,道冲渊兮,,990000000.0,813.72,14652700.0,49.47,10.58,2012-11-09,2021-04-09,qihuo7hcn
22,双子基金,,980000000.0000001,269.91,22364500.0,43.76,0.0,2012-01-18,2021-04-07,qihuo7hcn
23,尚佐2号,,959000000.0,28.03,55689399.99999999,36.4,15200.0,2015-04-13,2024-06-06,qihuo7hcn
24,鼎诺梅花一号,,885000000.0,2.91,335300.0,100.0,100.73,2019-03-25,2022-07-07,qihuo7hcn
25,何足道,,885000000.0,482.12,11033200.0,37.89,1.53,2012-02-15,2021-04-09,qihuo7hcn
26,水木长量-兴证期货,,846000000.0000001,727.3,10642200.0,41.2,28589000.0,2016-01-19,2026-02-06,qihuo7hcn
27,沧海大有,,839000000.0,476.9,7329900.0,70.31,12000.0,2012-03-22,2021-04-07,qihuo7hcn
28,沧海德盛,,835000000.0,4156.92,1562300.0,59.85,100.0,2012-06-21,2021-04-07,qihuo7hcn
29,美好投资,,830000000.0000001,3249.66,3768500.0,55.44,7.92,2012-10-11,2021-04-06,qihuo7hcn
30,思思飞,,792000000.0,130.21,20194900.0,42.38,341.36,2013-10-08,2026-01-29,qihuo7hcn
31,泓一,,790000000.0,1953.3,3554000.0,41.21,1058.46,2017-09-11,2024-06-06,qihuo7hcn
32,老吴,,778000000.0,499.74,6057300.0,37.16,0.03,2019-10-10,2024-06-07,qihuo7hcn
33,投资在线2号,,771000000.0,3061.66,2619700.0000000005,76.74,641.54,2013-09-25,2021-04-09,qihuo7hcn
34,103606141,,766000000.0,413.17,9240400.0,48.91,2922900.0,2013-10-08,2026-02-25,qihuo7hcn
35,天泓基金ZZF,,737000000.0,3253.4,2187000.0,66.45,1898.23,2017-10-23,2024-06-06,qihuo7hcn
36,益千投资,,723000000.0,713.89,5142700.0,34.42,100.05,2017-06-27,2024-06-06,qihuo7hcn
37,琅琊榜,,686000000.0,6771.22,934300.0000000001,60.6,0.8,2019-01-25,2024-06-06,qihuo7hcn
38,宏源一号,,662000000.0,1056.73,2839900.0,55.29,5288.48,2013-12-03,2024-06-06,qihuo7hcn
39,静观悟道,,635000000.0,405.26,6192800.0,47.43,2547.54,2017-11-23,2024-06-06,qihuo7hcn
40,聚星,,613000000.0,748.66,7107900.0,41.99,11789200.0,2015-08-06,2021-03-01,qihuo7hcn
41,ysfbehe,,595000000.0,128.34,13123100.0,42.12,2798.79,2013-05-02,2025-09-23,qihuo7hcn
42,吴洪涛,,574000000.0,781.65,8070700.000000001,57.35,0.18,2013-10-08,2021-04-09,qihuo7hcn
43,oyrb,,569000000.0,1636.71,2300400.0,45.84,0.0,2014-06-04,2024-06-06,qihuo7hcn
44,人工智能,,559000000.0,331.59,10461600.0,65.16,113.92,2012-10-08,2024-06-06,qihuo7hcn
45,青城1号,,544000000.0,455.32,8330100.0,21.66,3955700.0,2018-08-14,2024-06-06,qihuo7hcn
46,老火鸡,,541000000.0,322.89,16356400.000000002,37.27,66252200.0,2016-01-04,2026-02-02,qihuo7hcn
47,高翔2号,,525000000.0,725.53,9590400.0,22.64,9.99,2014-03-11,2021-04-09,qihuo7hcn
48,华创一号,,508000000.0,1824.89,1856500.0,72.99,502299.99999999994,2019-01-11,2026-02-03,qihuo7hcn
49,在赢投资-灰太郎,,507000000.0,269.45,4061400.0,40.21,63700.0,2014-04-08,2024-09-24,qihuo7hcn
50,浪花三号,,505000000.0,875.32,4767100.0,55.32,86645900.0,2014-03-11,2026-01-30,qihuo7hcn
