rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,煌石投资,,10000000000.0,1489.32,58373400.0,41.74,27500.0,2019-01-18,2024-06-06,qihuo7hcn
2,L,,8566000000.0,312.25,57445700.0,65.94,769.64,2018-08-31,2024-06-26,qihuo7hcn
3,卧虎先生,,7018000000.000001,594.53,101000000.0,61.57,8009299.999999999,2013-11-11,2016-04-28,qihuo7hcn
4,Z888YY,,6305000000.0,480.43,70748700.0,63.74,500.08,2013-04-01,2021-04-09,qihuo7hcn
5,静和投资静字1期,,4579000000.0,563.92,51179000.0,48.18,158200.0,2014-04-23,2022-11-29,qihuo7hcn
6,K线之王,,3735000000.0,962.71,17887600.0,40.77,89683900.0,2018-10-17,2025-10-21,qihuo7hcn
7,xmkyx20191023,,2710000000.0,742.21,9888600.0,75.62,100.0,2019-10-22,2022-07-07,qihuo7hcn
8,大地智库,,2566000000.0,1637.72,5942600.0,55.7,9248900.0,2019-11-25,2026-01-21,qihuo7hcn
9,壁虎资本,,2545000000.0,704.29,27195300.000000004,73.66,3469200.0,2014-07-21,2024-06-06,qihuo7hcn
10,鳄鱼壹号,,2401000000.0,246.25,40924000.0,72.79,1100.0,2014-09-01,2024-06-06,qihuo7hcn
11,春哥-隐士摩期-20210604,,2372000000.0,1266.34,7449500.0,46.7,26100.0,2021-05-27,2025-07-07,qihuo7hcn
12,水木长量-兴证期货,,2358000000.0,431.47,23419699.999999996,36.69,28589000.0,2016-01-19,2025-10-20,qihuo7hcn
13,浪花三号,,2322000000.0,456.2,15143000.0,45.73,86645900.0,2014-03-11,2024-09-10,qihuo7hcn
14,老火鸡,,2079000000.0,301.09,27993100.0,34.88,66252200.0,2016-01-04,2026-02-02,qihuo7hcn
15,yuanaifei4,,2030999999.9999998,343.21,28765100.000000004,33.27,176.49,2014-11-10,2025-04-10,qihuo7hcn
16,隆中策,,1936000000.0,842.16,16663699.999999998,60.04,410.24,2015-02-04,2023-08-07,qihuo7hcn
17,让子弹飞-正言稳健壹号,,1721000000.0,272.84,21365100.000000004,59.5,0.0,2020-07-06,2024-02-19,qihuo7hcn
18,Z888,,1637000000.0,759.23,9753500.0,78.45,38300.0,2013-02-04,2024-06-06,qihuo7hcn
19,道无名,,1566000000.0,690.92,7228099.999999999,67.17,25000.0,2016-02-24,2025-07-17,qihuo7hcn
20,聚星,,1562000000.0,2904.29,3939400.0,100.0,11789200.0,2015-08-06,2021-03-01,qihuo7hcn
21,20号,,1354000000.0,19.98,362000000.0,45.7,6746100.0,2011-12-06,2024-11-12,qihuo7hcn
22,大明宫词,,1322000000.0,3510.6,2254500.0,50.37,1011500.0,2010-11-23,2013-01-07,qihuo7hcn
23,琅琊榜,,1276000000.0,643.96,8191799.999999999,50.93,0.8,2019-01-25,2024-06-06,qihuo7hcn
24,雪松树,,1192000000.0,3935.81,2307100.0,41.99,1.98,2020-11-09,2024-06-07,qihuo7hcn
25,爱飞五矿,,1168000000.0,427.03,11645100.0,26.69,7502300.0,2022-02-23,2025-02-27,qihuo7hcn
26,龙儿,,1150000000.0,300.84,23066700.0,46.04,100.0,2016-08-02,2022-07-07,qihuo7hcn
27,跬步千里20,,1138000000.0,1320.61,1716300.0,57.13,1240.57,2019-09-30,2024-06-07,qihuo7hcn
28,宝盈7号,,1135000000.0,372.0,14425600.0,30.79,24779500.0,2016-07-18,2026-01-20,qihuo7hcn
29,佩玮投资量化2号,,1104000000.0,11.09,269000000.0,46.62,100.0,2015-05-04,2017-06-06,qihuo7hcn
30,李文艳,,1063000000.0000001,402.4,10840900.0,29.34,6330800.0,2020-04-02,2025-10-20,qihuo7hcn
31,yuanaifei3,,1058000000.0,312.91,15966099.999999998,27.91,0.0,2014-07-23,2025-03-20,qihuo7hcn
32,13829714743,,992000000.0,132.76,50733000.0,27.89,10000.0,2016-03-02,2024-06-06,qihuo7hcn
33,合顺一号,,985000000.0,181.95,15918300.0,47.53,61321800.0,2022-01-14,2026-02-24,qihuo7hcn
34,哲学交易,,983000000.0,227.17,18856000.0,47.28,8.19,2013-12-27,2022-07-07,qihuo7hcn
35,长量爱飞1号,,905000000.0000001,1660.92,2129100.0,39.09,72512100.0,2020-04-02,2025-12-30,qihuo7hcn
36,在赢投资-灰太郎,,886000000.0,167.88,11085700.0,46.12,63700.0,2014-04-08,2024-09-23,qihuo7hcn
37,胡盈加仓,,848000000.0,202.52,17898500.0,35.65,4589.82,2015-11-20,2025-09-01,qihuo7hcn
38,heben2020,,836999999.9999999,170.82,14453500.0,39.34,216.52,2019-09-24,2022-11-25,qihuo7hcn
