rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,13829714743,,10000000000.0,1474.2,222000000.00000003,71.81,10000.0,2016-03-02,2024-06-06,qihuo7hcn
2,飞鹤东航,,10000000000.0,1849.02,65329799.99999999,69.75,14.42,2013-09-02,2024-06-06,qihuo7hcn
3,xmkyx,,6215000000.0,505.23,31843900.0,48.73,1001.0,2014-04-28,2024-06-06,qihuo7hcn
4,zjjdqt2006,,4613000000.0,577.19,45703700.0,62.87,1000.0,2015-07-06,2024-06-06,qihuo7hcn
5,小笨团队A,,4201000000.0,167.4,382000000.0,42.46,35487700.0,2020-08-07,2026-02-25,qihuo7hcn
6,投资在线2号,,3339000000.0,2668.24,17623900.0,59.52,641.54,2013-09-25,2021-04-09,qihuo7hcn
7,天际系统化,,3324000000.0,338.64,124000000.0,36.43,1.28,2011-12-12,2021-04-09,qihuo7hcn
8,皮卡老爸,,2859000000.0,624.9,45829900.0,80.96,7.71,2015-09-11,2021-04-09,qihuo7hcn
9,成都粒子投资2号,,2673000000.0,272.81,276000000.0,36.84,0.0,2013-02-05,2020-08-10,qihuo7hcn
10,善境投资（佛意）吴洪涛,,2488000000.0,195.14,113999999.99999999,54.49,3734600.0,2013-07-08,2026-02-25,qihuo7hcn
11,飞鹤短线,,2309000000.0,387.26,62563400.0,53.6,200.96,2013-01-09,2024-06-06,qihuo7hcn
12,新丰和--长胜1号,,2275000000.0,2684.79,9861100.0,59.15,1.0,2015-10-09,2023-08-07,qihuo7hcn
13,猪猪和小宝,,2199000000.0,510.95,42564500.0,61.77,3.65,2011-06-22,2021-04-07,qihuo7hcn
14,英大振威3号,,2003000000.0,1458.83,60658100.00000001,46.2,1.15,2014-02-28,2023-08-07,qihuo7hcn
15,尚泽激进,,1891000000.0,591.02,55559799.99999999,37.92,0.64,2011-12-06,2021-04-07,qihuo7hcn
16,英大振宇7号,,1854000000.0,498.59,75264000.0,46.07,1165.81,2014-03-04,2024-06-06,qihuo7hcn
17,大国崛起3,,1839999999.9999998,3256.28,29705800.0,55.72,0.0,2010-11-22,2019-09-20,qihuo7hcn
18,王艺1,,1672000000.0,1139.07,25847800.000000004,50.0,800000.0,2020-01-14,2026-01-26,qihuo7hcn
19,智瑶16,,1661000000.0,289.22,50834399.99999999,43.69,0.0,2014-03-10,2024-06-06,qihuo7hcn
20,汪杨,,1530000000.0,146.89,261000000.0,44.54,1001.0,2011-10-24,2021-04-07,qihuo7hcn
21,三三基金贰号,,1519000000.0,460.76,32454200.0,58.24,1.94,2014-06-19,2021-04-09,qihuo7hcn
22,沈军2,,1492000000.0,3236.62,4267300.0,68.44,19200.0,2016-07-05,2024-06-06,qihuo7hcn
23,大国崛起,,1485000000.0,1732.65,24855600.0,57.56,2038400.0,2011-08-12,2016-09-06,qihuo7hcn
24,吴洪涛,,1347000000.0,134.43,87520400.00000001,54.8,0.18,2013-10-08,2021-04-09,qihuo7hcn
25,梅花基金,,1341000000.0,359.78,118000000.0,49.94,200.0,2013-12-16,2021-04-09,qihuo7hcn
26,妙为为三,,1285000000.0,186.79,1586500.0,56.69,400.0,2012-05-14,2021-04-06,qihuo7hcn
27,少隐,,1218000000.0,246.66,24656000.0,36.55,1000.05,2013-01-18,2024-06-06,qihuo7hcn
28,凯泽投资,,1213000000.0,77.86,52196100.0,47.22,40900.0,2013-02-22,2019-05-28,qihuo7hcn
29,套利一号,,1212000000.0,1669.4,13178800.000000002,52.04,8192.52,2022-03-22,2024-06-07,qihuo7hcn
30,zjsmy1,,1195000000.0,1342.61,12469100.0,42.14,0.0,2017-06-19,2024-06-06,qihuo7hcn
31,HY基金2号,,1151000000.0,631.44,15168699.999999998,62.64,3000.0,2013-03-01,2024-06-06,qihuo7hcn
32,青兰资本,,1141000000.0,951.34,8606500.0,41.76,2795899.9999999995,2015-08-25,2022-11-15,qihuo7hcn
33,圆直实一,,1109000000.0,6271.27,11288900.000000002,61.25,604200.0,2011-10-11,2013-06-04,qihuo7hcn
34,无锡聚商资产,,1084000000.0,31.67,53851800.0,46.72,0.0,2012-02-03,2021-04-09,qihuo7hcn
35,宋盈杰2号,,1084000000.0,1373.96,6781200.0,51.0,1333.12,2014-06-11,2024-06-06,qihuo7hcn
36,run,,1081000000.0,100.57,8496700.0,47.22,276.41,2014-05-08,2021-04-09,qihuo7hcn
37,willan2,,1061000000.0,373.77,28318800.0,83.45,190.15,2016-08-22,2024-06-06,qihuo7hcn
38,大盈家1号,,1050000000.0,1293.29,7708200.000000001,47.59,1001.51,2015-09-07,2024-06-06,qihuo7hcn
39,阳哥,,1023000000.0,816.71,14638400.0,56.97,5118100.0,2011-08-01,2021-04-06,qihuo7hcn
40,隆中策,,999000000.0,132.62,27903200.0,38.96,410.24,2015-02-04,2023-08-07,qihuo7hcn
41,平湖习剑,,997000000.0000001,414.7,14993400.0,40.48,8342800.0,2014-10-27,2026-02-06,qihuo7hcn
42,神华包总,,968000000.0,921.08,10767100.0,60.09,0.0,2014-07-14,2021-04-09,qihuo7hcn
43,无为,,947000000.0000001,200.47,11676500.0,41.06,1010.0,2012-04-13,2024-06-06,qihuo7hcn
44,尚泽稳健,,944999999.9999999,1052.48,13543599.999999998,48.69,49900.0,2011-12-23,2021-04-07,qihuo7hcn
45,天心无改移,,944000000.0,81.57,38816700.0,33.0,100.02,2014-08-25,2021-04-09,qihuo7hcn
46,峰儿3号小,,944000000.0,5786.79,2850000.0,45.3,2683.76,2021-02-08,2024-11-12,qihuo7hcn
47,狮心雄,,936999999.9999999,140.93,10257300.0,54.85,0.0,2013-03-12,2014-04-17,qihuo7hcn
48,天。地,,915000000.0,333.4,55182100.0,61.77,1528.78,2010-11-18,2021-04-07,qihuo7hcn
49,小笨12号,,899000000.0,2453.45,6351600.0,41.82,4412100.0,2020-08-07,2023-01-10,qihuo7hcn
50,期待黑天鹅1,,896000000.0000001,1292.8,8622200.0,55.64,1213300.0,2017-01-23,2026-02-25,qihuo7hcn
