rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,聚星,,6992000000.0,218.42,62111300.0,60.38,11789200.0,2015-08-06,2021-03-01,qihuo7hcn
2,老火鸡,,4350000000.0,105.91,45600700.0,48.48,66252200.0,2016-01-04,2026-01-30,qihuo7hcn
3,紫炮小霸王,,3693000000.0,46.67,104000000.0,46.96,3595200.0,2016-01-12,2025-01-13,qihuo7hcn
4,证期之家5组,,1367000000.0,520.74,2790700.0,61.56,5739100.0,2020-04-10,2025-05-07,qihuo7hcn
5,rs2019,,908000000.0,3419.23,335100.0,100.0,0.65,2018-08-27,2024-06-06,qihuo7hcn
6,飞鹤趋势,,852000000.0,197.26,8123099.999999999,67.1,0.04,2013-01-04,2024-06-06,qihuo7hcn
7,20号,,809000000.0,4.3,336000000.0,44.36,6746100.0,2011-12-06,2024-11-12,qihuo7hcn
8,Z888YY,,806000000.0,591.88,2722700.0,79.94,500.08,2013-04-01,2021-04-09,qihuo7hcn
9,紫棍小霸王,,781000000.0,23.13,38702600.0,37.09,38100.0,2016-10-28,2024-06-06,qihuo7hcn
10,zjsmy1,,722000000.0,18.14,39711000.0,42.19,0.0,2017-06-19,2024-06-06,qihuo7hcn
11,Kevin,,710000000.0,81.57,11102500.0,60.57,10.9,2015-06-04,2021-04-09,qihuo7hcn
12,太极道,,676000000.0,730.74,987200.0,82.37,1032.04,2019-06-17,2024-06-06,qihuo7hcn
13,水石一期,,645000000.0,1181.91,801500.0,96.19,0.27,2012-12-21,2021-04-06,qihuo7hcn
14,jjbjyb,,622000000.0,243.74,3361400.0,61.67,112.16,2016-02-23,2021-04-09,qihuo7hcn
15,太乙,,555000000.0,24.19,19498100.0,57.06,772000.0,2017-05-19,2025-09-17,qihuo7hcn
16,玄武盛和CTA壹号,,523000000.00000006,87.91,4039900.0,48.64,3064900.0,2015-10-23,2024-06-06,qihuo7hcn
17,爱尤文爱期货,,521000000.0,33.18,16608800.000000002,52.4,200.02,2017-12-08,2024-06-06,qihuo7hcn
