rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,猛虎下山,,495000000.0,421.17,23698200.0,38.05,174700.0,2016-06-20,2025-12-25,qihuo7hcn
2,简单的飞_fz,,467000000.0,479.23,8623000.0,35.32,1156300.0,2014-01-13,2026-02-13,qihuo7hcn
3,长量爱飞1号,,445000000.0,1.83,583500.0,51.65,72512100.0,2020-04-02,2025-07-23,qihuo7hcn
4,盘前计划续,,429000000.0,195.15,18888000.0,43.58,306200.0,2019-10-31,2026-01-29,qihuo7hcn
5,猛虎杀手不太冷,,369000000.0,305.58,12104800.0,35.29,100.23,2023-05-15,2025-05-20,qihuo7hcn
6,恩典满溢,,324000000.0,745.49,8179900.0,63.18,1201300.0,2022-10-10,2026-02-24,qihuo7hcn
7,闲云野鹤_宏源,,315000000.0,1046.87,2208900.0,70.5,2199400.0,2023-05-15,2026-01-08,qihuo7hcn
8,Melin,,270000000.0,1523.85,7183000.0,39.92,5299700.0,2021-03-05,2024-06-07,qihuo7hcn
9,春哥-隐士摩期-20210604,,260000000.0,2.9,386800.0,97.73,26100.0,2021-05-27,2025-07-07,qihuo7hcn
10,证期之家5组,,245000000.00000003,4669.38,742400.0,78.3,5739100.0,2020-04-10,2025-07-10,qihuo7hcn
11,zjsmy1,,231000000.0,733.7,3869500.0,52.94,0.0,2017-06-19,2024-06-06,qihuo7hcn
12,爱好活着,,204000000.0,2970.15,2050700.0,58.6,100.0,2020-10-09,2024-06-07,qihuo7hcn
13,连,,202999999.99999997,1.95,253500.0,65.67,1074900.0,2017-09-19,2026-02-05,qihuo7hcn
14,杭州张先生19967434242,,166000000.0,8223.26,1771500.0,62.0,617000.0,2023-12-07,2025-08-22,qihuo7hcn
15,宏德混合稳健1号私募证券投资基金,,147000000.0,474.79,2745000.0,75.22,11266700.0,2022-06-22,2026-02-25,qihuo7hcn
16,at3630996,,146000000.0,460.12,7247400.0,62.38,0.0,2017-02-20,2024-09-11,qihuo7hcn
17,思思飞,,146000000.0,4730.37,1131800.0,49.47,341.36,2013-10-08,2026-01-20,qihuo7hcn
18,期货追影,,135000000.0,4177.02,1192900.0,45.84,55.02,2014-07-28,2026-01-20,qihuo7hcn
19,6918,,124000000.0,487.91,1821300.0,74.13,8453300.0,2018-04-20,2025-09-22,qihuo7hcn
20,ysfbehe,,122000000.0,3419.3,1326500.0,46.38,2798.79,2013-05-02,2025-10-17,qihuo7hcn
21,藤萝系甲1,,117000000.0,531.2,5696200.0,47.87,0.0,2021-12-13,2024-05-31,qihuo7hcn
22,风口浪尖的男人,,113999999.99999999,2.65,130900.0,92.1,694500.0,2011-12-20,2026-01-07,qihuo7hcn
23,小金牛,,112999999.99999999,1544.83,1145000.0,48.45,420.03,2023-06-05,2025-06-05,qihuo7hcn
24,Okamoto,,100000000.0,175.79,6331200.0,61.11,167.95,2016-06-03,2024-06-25,qihuo7hcn
25,藤萝系甲2,,88771000.0,255.61,5869000.0,43.05,1606699.9999999998,2021-12-13,2026-02-24,qihuo7hcn
26,博量量化CTA1号,,87536000.0,1945.07,540600.0,62.28,5265300.0,2023-02-14,2024-06-07,qihuo7hcn
27,圣成,,83334900.0,1675.07,487299.99999999994,33.0,308400.0,2017-07-04,2024-06-06,qihuo7hcn
28,等等001,,80763100.0,1806.46,2131100.0,49.79,254.0,2019-08-19,2024-06-06,qihuo7hcn
29,乡村交易员2007,,79745600.0,1055.03,2549900.0,50.5,1322500.0,2020-02-10,2026-02-10,qihuo7hcn
30,猪八戒,,78112700.0,4478.42,1085000.0,97.52,66900.0,2022-03-07,2025-03-25,qihuo7hcn
31,百仕旺黑天鹅8号,,77433100.0,1.15,149000.0,86.26,0.0,2022-04-12,2025-04-03,qihuo7hcn
32,希望在转角1,,76719500.0,1407.21,2286500.0,26.36,16879400.0,2012-09-19,2025-12-22,qihuo7hcn
33,歹式投资1,,74333600.0,3117.89,217000.0,23.32,1280600.0,2021-09-27,2026-01-16,qihuo7hcn
34,逗妖家族-神,,73407400.0,331.6,4418900.0,12.9,444200.0,2015-09-01,2024-06-06,qihuo7hcn
35,洼盈套利十一号,,71846100.0,440.01,1646900.0,45.33,55524300.0,2022-01-28,2024-06-07,qihuo7hcn
36,不猜不看不动,,70228900.0,8094.61,216200.0,21.27,2645000.0,2022-08-05,2026-02-03,qihuo7hcn
37,随意组合4,,67202200.0,1687.9,379200.0,46.44,1079900.0,2023-05-15,2024-11-11,qihuo7hcn
38,彊土,,65844500.0,1.55,69400.0,100.0,0.0,2023-05-15,2024-02-26,qihuo7hcn
39,无为趋势,,64882299.99999999,7642.2,456800.0,26.0,5985100.0,2016-07-05,2026-01-26,qihuo7hcn
40,简单的飞_rd,,62092600.0,227.31,2655600.0,44.26,312300.0,2023-10-25,2026-02-13,qihuo7hcn
41,树晷资管,,61663500.0,587.5,1032900.0000000001,53.94,0.81,2023-08-22,2024-06-07,qihuo7hcn
42,WUXUE,,60374600.0,4445.85,866300.0,74.29,305600.0,2015-06-04,2024-06-06,qihuo7hcn
43,流水一号,,55900500.0,163.4,23513100.0,50.86,5245200.0,2021-01-18,2025-07-16,qihuo7hcn
44,远行人,,55508300.0,2368.1,1282100.0,59.1,100.32,2023-11-29,2024-07-15,qihuo7hcn
45,风火山林999,,52499300.0,5997.18,568100.0,76.89,94.54,2021-09-01,2024-06-11,qihuo7hcn
46,猛虎传说,,51509100.0,1058.07,2102400.0,41.6,12982300.0,2023-05-18,2026-02-24,qihuo7hcn
