rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,德莱斯勒NO.3,,8761000000.0,6236.07,4150500.0,97.85,0.0,2020-07-10,2024-06-07,qihuo7hcn
2,一颗星14华安凡,,2977000000.0,242.31,34703100.0,71.36,26700.0,2017-08-31,2024-06-06,qihuo7hcn
3,天风峰儿,,2044000000.0000002,233.3,25686200.0,64.46,3579.64,2021-06-04,2025-12-04,qihuo7hcn
4,Melin,,1089000000.0,1878.28,1747100.0,41.72,5299700.0,2021-03-05,2024-06-07,qihuo7hcn
5,快枪手3号,,851000000.0,354.09,7601300.0,66.69,6651500.0,2017-12-04,2024-06-06,qihuo7hcn
6,捕风,,649000000.0,116.41,14623400.0,52.54,1057.19,2016-11-25,2024-06-06,qihuo7hcn
7,老火鸡,,602000000.0,128.97,14238800.000000002,35.79,66252200.0,2016-01-04,2026-01-26,qihuo7hcn
8,觉醒者,,533000000.0,225.83,7164700.0,51.58,1685700.0,2022-01-27,2025-06-30,qihuo7hcn
9,想想小仙女,,516000000.0,353.08,4438700.0,57.31,10300.0,2021-02-05,2024-06-07,qihuo7hcn
10,资本蜗牛,,467000000.0,1926.34,1054400.0,87.69,7692100.0,2016-05-24,2024-06-06,qihuo7hcn
11,志道1号,,417000000.0,176.25,8047400.0,50.09,282.57,2017-04-24,2024-06-06,qihuo7hcn
12,嘉星青骓,,415000000.00000006,215.41,6996000.0,70.45,20.06,2019-03-06,2024-06-06,qihuo7hcn
13,青城1号,,393000000.0,296.88,6045700.000000001,42.46,3955700.0,2018-08-14,2024-06-06,qihuo7hcn
14,懋良锐狮,,339000000.0,610.59,1638899.9999999998,49.86,3011.0,2020-09-21,2024-06-07,qihuo7hcn
15,零点讲台-汇融zb,,333000000.0,69.97,4262000.0,56.22,1835.81,2019-11-29,2024-06-06,qihuo7hcn
16,宝盈7号,,328000000.0,148.45,6917900.0,36.76,24779500.0,2016-07-18,2026-02-02,qihuo7hcn
17,琅琊榜,,327000000.0,458.94,2778700.0,38.09,0.8,2019-01-25,2024-06-06,qihuo7hcn
18,嘉星枪神2019,,316000000.0,233.22,4974800.0,69.47,1000.0,2019-03-04,2024-07-09,qihuo7hcn
19,聚星,,306000000.0,739.4,2135300.0,66.71,11789200.0,2015-08-06,2021-03-01,qihuo7hcn
20,futureshero,,301000000.0,151.85,10492300.0,70.53,0.0,2017-12-11,2024-06-06,qihuo7hcn
21,联唐一号,,267000000.0,342.37,2706400.0,46.24,3730800.0,2016-01-18,2025-07-22,qihuo7hcn
22,证期之家7组,,260000000.0,487.17,1268000.0,61.5,0.01,2020-07-14,2024-06-07,qihuo7hcn
23,流水一号,,254000000.0,135.46,3123500.0,63.81,5245200.0,2021-01-18,2026-01-26,qihuo7hcn
24,优素片叶1号,,250999999.99999997,171.79,5150900.0,62.69,20.0,2014-05-12,2024-06-06,qihuo7hcn
25,刀姐GH,,248000000.0,20.07,32902700.0,51.01,11230300.0,2021-03-16,2025-07-11,qihuo7hcn
26,小蚂蚁,,240000000.0,160.11,1358000.0,50.25,154.57,2019-07-15,2023-08-07,qihuo7hcn
27,一碟AX,,236000000.0,49.26,14439800.0,50.01,17.82,2021-04-15,2024-06-07,qihuo7hcn
28,点石成水5,,225000000.0,33.98,14979000.0,68.69,2641.88,2019-07-05,2024-06-06,qihuo7hcn
29,E,,217000000.0,47.13,13272700.0,63.05,881300.0,2014-07-07,2026-02-25,qihuo7hcn
30,willan2,,212000000.0,95.6,5910500.0,85.72,190.15,2016-08-22,2024-06-06,qihuo7hcn
31,水木长量-兴证期货,,206999999.99999997,77.05,8392100.0,38.41,28589000.0,2016-01-19,2025-12-16,qihuo7hcn
32,千鹤众祥,,206000000.0,525.67,1358000.0,80.44,5060700.0,2012-12-21,2021-10-11,qihuo7hcn
33,证期之家2组,,199000000.0,153.33,1203100.0,37.86,0.0,2020-04-13,2024-06-07,qihuo7hcn
34,元字二号元量化,,190000000.0,493.22,1367400.0,30.12,0.0,2020-01-17,2024-06-07,qihuo7hcn
35,奇获稳进,,189000000.0,8.3,746800.0000000001,54.56,186.02,2016-11-29,2024-06-06,qihuo7hcn
36,辣可不一样,,187000000.0,65.15,9996000.0,46.47,2.04,2014-06-16,2024-06-06,qihuo7hcn
37,hzxsygj,,186000000.0,132.02,4908200.0,47.02,390800.0,2019-05-15,2024-06-06,qihuo7hcn
38,一颗星13浙商,,182000000.0,1091.2,322700.00000000006,100.0,3789.08,2021-03-23,2024-06-07,qihuo7hcn
39,文安易,,174000000.0,184.93,3492900.0,39.68,4040899.9999999995,2019-07-09,2024-06-06,qihuo7hcn
40,慢就是快,,168000000.0,518.7,1127800.0,52.34,39500.0,2015-11-25,2024-06-06,qihuo7hcn
41,信泽咨询,,161000000.0,188.71,2751000.0,74.08,69900.0,2018-08-10,2025-10-30,qihuo7hcn
42,紫衣游吟,,161000000.0,178.03,4809200.0,57.84,204000.0,2015-09-18,2024-06-06,qihuo7hcn
43,长安财富3号期货基金,,160000000.0,309.84,1625300.0,44.69,115300.0,2020-04-27,2024-06-07,qihuo7hcn
44,海创锐投一号,,159000000.0,135.97,2410300.0,62.58,5889.26,2019-08-22,2024-06-06,qihuo7hcn
45,元鼎五号,,157000000.0,50.17,8079400.000000001,37.58,8778600.0,2017-06-19,2023-03-17,qihuo7hcn
46,多空恋,,156000000.0,370.69,1128600.0,46.2,1172700.0,2021-04-23,2025-01-23,qihuo7hcn
47,0.3,,155000000.0,268.85,1740100.0,53.19,0.0,2022-04-27,2024-06-07,qihuo7hcn
48,Kinsey,,150000000.0,557.9,1036200.0,47.45,100.0,2016-03-18,2024-08-01,qihuo7hcn
49,探路人,,148000000.0,122.47,3546700.0,34.05,3350299.9999999995,2020-03-02,2025-12-29,qihuo7hcn
50,李龙杰1984,,145000000.0,37.53,11767500.0,51.72,854000.0,2017-09-28,2026-01-29,qihuo7hcn
