rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,迪马,,4296000000.0,83.01,75271700.0,55.97,21640800.0,2021-01-04,2026-02-25,qihuo7hcn
2,董事长的工程车,,2466000000.0,119.35,23474699.999999996,60.06,1367600.0,2022-06-21,2025-05-28,qihuo7hcn
3,辣鸡,,2438000000.0,206.98,5898300.0,59.81,2750.65,2019-11-18,2024-06-06,qihuo7hcn
4,桥睿001,,2071000000.0,425.83,7470200.0,42.33,19301700.0,2018-12-26,2024-06-06,qihuo7hcn
5,小宁的糖葫芦,,2002000000.0,76.24,31176000.0,57.19,11574700.0,2020-05-12,2026-02-25,qihuo7hcn
6,点石成水5,,1311000000.0,40.18,3222900.0,58.11,2641.88,2019-07-05,2024-06-06,qihuo7hcn
7,期货小草,,1268000000.0,21.22,28436600.0,39.65,2054900.0,2016-11-18,2025-02-11,qihuo7hcn
8,证期之家5组,,763000000.0,93.2,13092900.0,42.93,5739100.0,2020-04-10,2025-06-27,qihuo7hcn
9,富景泽臻日内趋势,,659000000.0,2780.09,315600.0,75.77,916700.0,2019-11-20,2024-06-06,qihuo7hcn
10,奇获稳进,,640000000.0,1.12,22549200.0,49.23,186.02,2016-11-29,2024-06-06,qihuo7hcn
11,辣可不一样,,625000000.0,111.62,5986900.000000001,45.7,2.04,2014-06-16,2024-06-06,qihuo7hcn
12,yuanaifei4,,624000000.0,108.86,27687600.000000004,50.03,176.49,2014-11-10,2025-04-08,qihuo7hcn
13,浪花三号,,579000000.0,60.15,28624400.0,41.76,86645900.0,2014-03-11,2025-04-30,qihuo7hcn
14,一春俊田,,568000000.0,25.11,11758500.0,86.99,116600.0,2018-06-27,2025-04-16,qihuo7hcn
15,誉隆商贸,,565000000.0,920.56,1116300.0,69.67,392000.0,2020-03-03,2024-06-06,qihuo7hcn
16,春哥-隐士摩期-20210604,,536000000.00000006,156.17,5804000.0,48.97,26100.0,2021-05-27,2025-06-25,qihuo7hcn
17,捕风,,496000000.0,39.61,21752800.000000004,45.45,1057.19,2016-11-25,2024-06-06,qihuo7hcn
18,AMA,,487000000.0,90.74,12029100.0,44.69,2035100.0,2014-09-01,2023-10-26,qihuo7hcn
19,ysfbehe123,,480999999.99999994,80.35,3082799.9999999995,46.96,2269.62,2019-05-13,2024-06-06,qihuo7hcn
20,Melin,,455000000.0,158.36,16939700.0,55.91,5299700.0,2021-03-05,2024-06-07,qihuo7hcn
