rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,风火山林999,,10000000000.0,484.63,559000000.0,43.99,94.54,2021-09-01,2024-06-07,qihuo7hcn
2,小笨团队A,,10000000000.0,134.15,1118000000.0,46.93,35487700.0,2020-08-07,2026-02-25,qihuo7hcn
3,桥睿001,,10000000000.0,1099.66,60365000.0,40.22,19301700.0,2018-12-26,2024-06-06,qihuo7hcn
4,心宿二,,10000000000.0,194.63,581000000.0,42.0,166000000.0,2018-03-22,2026-01-16,qihuo7hcn
5,13829714743,,10000000000.0,1010.6,1378000000.0,55.53,10000.0,2016-03-02,2024-06-06,qihuo7hcn
6,飞鹤东航,,10000000000.0,1602.26,55378500.0,83.22,14.42,2013-09-02,2024-09-06,qihuo7hcn
7,林岩,,9539000000.0,147.33,400000000.0,41.29,2382.59,2016-06-14,2024-06-06,qihuo7hcn
8,德莱斯勒NO.3,,9248000000.0,5227.34,20631700.0,70.19,0.0,2020-07-10,2024-06-07,qihuo7hcn
9,十年一剑999,,8217000000.0,746.14,84122600.0,59.97,0.91,2017-06-19,2024-06-06,qihuo7hcn
10,晨曦2号,,7275000000.0,320.92,112000000.00000001,55.04,0.0,2013-12-04,2018-11-29,qihuo7hcn
11,南华磊磊,,6934000000.0,54.47,311000000.0,50.48,0.0,2012-09-21,2019-01-04,qihuo7hcn
12,厚德载物88,,6652000000.0,465.66,48520700.0,75.37,100700.0,2013-03-12,2026-01-07,qihuo7hcn
13,zjsmy1,,5885000000.0,173.61,273000000.0,43.32,0.0,2017-06-19,2024-06-06,qihuo7hcn
14,shhuanghuang,,5355000000.0,175.26,161000000.0,61.63,0.0,2015-06-01,2024-05-14,qihuo7hcn
15,lqylqy,,5346000000.0,221.94,147000000.0,60.93,1.0,2012-04-11,2021-04-07,qihuo7hcn
16,飞鹤短线,,5039000000.0,1911.23,18762000.0,77.05,200.96,2013-01-09,2024-06-06,qihuo7hcn
17,6918,,5039000000.0,310.33,110000000.00000001,51.49,8453300.0,2018-04-20,2024-09-24,qihuo7hcn
18,9999,,4580000000.0,5.43,2161000000.0,30.87,3209.04,2014-10-16,2024-06-06,qihuo7hcn
19,雨后初晴,,4555000000.0,1267.06,45905800.0,41.83,1190900.0,2016-03-04,2024-09-09,qihuo7hcn
20,君翊CTA进取1号,,4393000000.0,285.9,103000000.0,41.86,8561900.0,2018-08-27,2024-06-06,qihuo7hcn
21,期待黑天鹅1,,4083000000.0,1700.69,8160800.0,46.49,1213300.0,2017-01-23,2025-09-04,qihuo7hcn
22,飞鹤永安,,3971000000.0,2338.85,14305400.0,92.6,1010.47,2013-08-12,2024-06-06,qihuo7hcn
23,L,,3895000000.0000005,352.49,105000000.0,60.79,769.64,2018-08-31,2025-06-13,qihuo7hcn
24,tonect,,3801000000.0,586.13,33743100.0,39.76,1163.6,2016-03-24,2024-06-06,qihuo7hcn
25,顾梦德银河,,3729000000.0,893.29,16313599.999999998,76.84,1386.2,2013-06-07,2022-07-07,qihuo7hcn
26,天泓基金,,3686000000.0,233.47,102000000.0,43.74,9354.25,2016-05-09,2024-06-06,qihuo7hcn
27,元鼎五号,,3559000000.0000005,860.54,25943600.0,56.87,8778600.0,2017-06-19,2023-03-17,qihuo7hcn
28,jason,,3365000000.0,333.44,36088500.0,42.2,1568.6,2013-08-09,2024-06-06,qihuo7hcn
29,103606141,,3132000000.0,65.13,352000000.0,47.03,2922900.0,2013-10-08,2025-07-31,qihuo7hcn
30,期如人生,,3101000000.0,1450.1,12414300.0,60.32,20.0,2014-07-01,2021-04-09,qihuo7hcn
31,枫001,,3055000000.0,137.74,169000000.0,46.54,1000.51,2016-09-26,2024-12-18,qihuo7hcn
32,逢赌必输,,2872000000.0,305.67,31967000.0,34.07,8638300.0,2013-03-11,2026-01-20,qihuo7hcn
33,jahooyao3,,2766000000.0,69.4,581000000.0,50.13,48356100.0,2017-05-26,2026-02-25,qihuo7hcn
34,雪花一号,,2693000000.0,239.66,90240400.00000001,64.77,172.26,2018-02-05,2024-06-06,qihuo7hcn
35,水木长量-兴证期货,,2665000000.0,319.76,61821000.0,44.53,28589000.0,2016-01-19,2025-09-10,qihuo7hcn
36,奔驰的卡宴,,2614000000.0,406.0,38812500.0,51.07,0.0,2018-02-05,2021-08-23,qihuo7hcn
37,zjcsj,,2539000000.0,304.92,50544900.0,73.44,0.0,2013-11-15,2022-03-29,qihuo7hcn
38,合顺一号,,2515000000.0,149.06,168000000.0,49.65,61321800.0,2022-01-14,2026-02-24,qihuo7hcn
39,辣可不一样,,2508000000.0,502.79,29808600.0,50.51,2.04,2014-06-16,2024-06-06,qihuo7hcn
40,丛源千里,,2376000000.0,409.68,87688900.0,53.75,1447600.0,2022-01-28,2025-03-21,qihuo7hcn
41,海浪一号,,2361000000.0,548.97,15168599.999999998,42.68,1014.24,2015-06-18,2024-06-06,qihuo7hcn
42,龙之翼,,2340000000.0,339.79,41027400.0,55.89,1001.0,2018-03-16,2024-08-23,qihuo7hcn
43,yuanaifei3,,2281000000.0,1146.74,16972200.0,51.83,0.0,2014-07-23,2025-03-25,qihuo7hcn
44,印象天堂,,2263000000.0,350.62,47349100.0,43.6,1171.66,2018-09-18,2024-06-06,qihuo7hcn
45,聚胜号2,,2240000000.0,774.08,18828700.0,63.5,0.0,2015-03-09,2021-04-09,qihuo7hcn
46,小笨12号,,2212000000.0,3733.1,6130200.0,57.52,4412100.0,2020-08-07,2023-01-10,qihuo7hcn
47,古剑愚徒弟二号,,2172000000.0,285.42,83576400.0,52.4,4413700.0,2018-05-04,2026-01-30,qihuo7hcn
48,Rochester,,2089999999.9999998,178.74,68984800.0,44.2,0.0,2016-03-11,2019-03-15,qihuo7hcn
49,玉皇山下,,2080000000.0,248.25,49364100.0,51.87,0.0,2015-12-29,2018-03-07,qihuo7hcn
50,自在2,,2057000000.0,1163.43,18082800.0,57.35,0.0,2021-05-11,2024-11-18,qihuo7hcn
