rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,让子弹飞-亡命之徒,,1068000000.0,5631.45,2075600.0,50.98,1831300.0,2022-11-01,2026-01-30,qihuo7hcn
2,曼易三号,,822000000.0000001,2.13,481200.0,99.56,21858500.0,2019-01-07,2025-12-29,qihuo7hcn
3,猛虎杀手不太冷,,792000000.0,521.88,10751600.0,42.86,100.23,2023-05-15,2025-05-28,qihuo7hcn
4,猛虎下山,,745000000.0,578.07,8455200.0,42.8,174700.0,2016-06-20,2025-12-26,qihuo7hcn
5,简单的飞_fz,,483000000.0,259.71,22080900.0,50.26,1156300.0,2014-01-13,2026-02-25,qihuo7hcn
6,天风峰儿,,404000000.0,2.16,329799.99999999994,100.0,3579.64,2021-06-04,2025-09-10,qihuo7hcn
7,平湖习剑,,388000000.0,1009.09,3127300.0,45.35,8342800.0,2014-10-27,2025-11-20,qihuo7hcn
8,K线之王,,371000000.0,7553.41,1715700.0,56.39,89683900.0,2018-10-17,2026-02-13,qihuo7hcn
9,期无界,,361000000.0,5236.07,1782800.0,87.16,14144700.0,2020-03-02,2026-02-05,qihuo7hcn
10,数一数二,,349000000.0,4925.9,765100.0,96.07,0.0,2022-01-05,2024-06-07,qihuo7hcn
11,老火鸡,,341000000.0,8339.91,541600.0,48.75,66252200.0,2016-01-04,2026-02-02,qihuo7hcn
12,盘前计划续,,291000000.0,141.49,19423300.0,46.81,306200.0,2019-10-31,2025-07-14,qihuo7hcn
13,心行者&云在青天水在瓶,,274000000.0,1054.65,2563200.0,45.29,2917799.9999999995,2019-03-06,2025-11-20,qihuo7hcn
14,心行者★秋霜切玉剑-金鞍五陵豪,,261000000.0,1018.63,2467900.0,45.75,2920000.0,2017-04-17,2025-11-20,qihuo7hcn
15,WUXUE,,238000000.0,3818.29,1780000.0,65.63,305600.0,2015-06-04,2024-06-12,qihuo7hcn
16,汇智融达-零花钱2号,,224000000.00000003,1017.37,3449600.0,51.42,1000000.0,2022-11-14,2026-01-16,qihuo7hcn
17,简单的飞_gf,,218000000.00000003,184.77,17326000.0,47.72,1541399.9999999998,2023-08-31,2026-02-25,qihuo7hcn
18,103606141,,208000000.0,868.99,3117799.9999999995,46.5,2922900.0,2013-10-08,2026-02-03,qihuo7hcn
