rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,老火鸡,,4989000000.0,7098.19,34531200.0,56.18,66252200.0,2016-01-04,2025-12-09,qihuo7hcn
2,峰儿3号小,,4793000000.0,1.27,17834300.0,74.55,2683.76,2021-02-08,2026-01-08,qihuo7hcn
3,春哥-隐士摩期-20210604,,2849000000.0,2422.53,64805800.0,39.33,26100.0,2021-05-27,2025-07-07,qihuo7hcn
4,0.2,,2843000000.0,1.18,13057800.0,67.66,0.0,2020-12-17,2022-09-01,qihuo7hcn
5,心行者&云在青天水在瓶,,2569000000.0,6656.41,29017800.000000004,48.83,2917799.9999999995,2019-03-06,2026-02-11,qihuo7hcn
6,恒光2号,,2533000000.0,4.6,3745200.0,90.54,21.74,2020-12-28,2023-08-07,qihuo7hcn
7,猛虎下山,,2527000000.0,477.08,497000000.0,47.93,174700.0,2016-06-20,2025-12-30,qihuo7hcn
8,jahooyao3,,2055999999.9999998,513.72,374000000.0,51.39,48356100.0,2017-05-26,2024-06-06,qihuo7hcn
9,小笨团队A,,1752000000.0,650.1,197000000.0,48.82,35487700.0,2020-08-07,2026-02-25,qihuo7hcn
10,心行者★秋霜切玉剑-金鞍五陵豪,,1735000000.0000002,5810.16,21468700.0,48.51,2920000.0,2017-04-17,2026-02-11,qihuo7hcn
11,平湖习剑,,1730999999.9999998,4978.48,20425400.0,44.79,8342800.0,2014-10-27,2026-02-11,qihuo7hcn
12,爱飞五矿,,1585000000.0,2823.92,24195800.0,31.11,7502300.0,2022-02-23,2025-02-12,qihuo7hcn
13,合顺一号,,1537000000.0,989.98,102000000.0,44.97,61321800.0,2022-01-14,2026-02-02,qihuo7hcn
14,宝盈7号,,1444000000.0,5021.78,15152300.0,42.26,24779500.0,2016-07-18,2026-02-06,qihuo7hcn
15,磁性战法,,1392000000.0,1.97,5250100.0,75.26,685.67,2017-09-05,2024-06-06,qihuo7hcn
16,yuanaifei3,,1256000000.0,2793.26,19810600.0,30.88,0.0,2014-07-23,2025-03-28,qihuo7hcn
17,liwenyan五矿,,1190000000.0,3377.02,15851500.0,37.57,101000000.0,2022-02-24,2026-01-12,qihuo7hcn
18,做空很烂做多更差,,1188000000.0,8135.57,10060200.0,69.66,0.0,2012-10-08,2026-02-12,qihuo7hcn
19,心行者★福星,,999000000.0,6198.61,10552700.0,49.43,2010200.0,2020-02-10,2026-02-11,qihuo7hcn
20,心行者,,846000000.0000001,6723.36,7773600.0,48.58,2138400.0,2016-04-01,2026-02-11,qihuo7hcn
21,大越2,,811999999.9999999,3.95,1455600.0,85.17,1855.35,2021-04-02,2024-06-07,qihuo7hcn
22,丛源千里,,778000000.0,6346.42,7214299.999999999,71.6,1447600.0,2022-01-28,2025-12-25,qihuo7hcn
23,大地智库,,720000000.0,3886.28,9746500.0,49.68,9248900.0,2019-11-25,2025-12-11,qihuo7hcn
24,李文艳,,708000000.0,2016.62,17969800.0,29.23,6330800.0,2020-04-02,2026-01-21,qihuo7hcn
25,青城1号,,592000000.0,8636.89,6931600.0,55.37,3955700.0,2018-08-14,2024-06-06,qihuo7hcn
26,欧阳容冰,,581000000.0,2351.51,10922500.0,30.44,3751200.0,2021-05-24,2025-07-16,qihuo7hcn
27,霹雳豹,,538000000.0,3.17,1464500.0,100.0,15400.0,2020-06-01,2024-06-06,qihuo7hcn
28,广州聚沙激进1号,,490000000.00000006,2.29,1117900.0,100.0,1353.49,2019-12-02,2024-06-07,qihuo7hcn
29,证期之家19组,,480999999.99999994,2218.56,16771199.999999998,56.94,5666.29,2020-07-03,2024-08-01,qihuo7hcn
30,yuanaifei4,,478000000.0,2020.05,11257500.0,32.21,176.49,2014-11-10,2025-04-16,qihuo7hcn
31,毛主席说我帅,,470000000.0,1261.78,31903200.0,50.81,12600.0,2020-08-24,2024-06-07,qihuo7hcn
32,浩睿1号,,415000000.00000006,2789.22,11755800.0,56.02,1.36,2020-06-02,2024-06-06,qihuo7hcn
33,聂成五矿,,413000000.0,2651.67,7351500.0,26.87,18198500.0,2022-04-25,2026-01-12,qihuo7hcn
34,辣可不一样,,397000000.0,3449.04,6388600.0,51.98,2.04,2014-06-16,2024-06-06,qihuo7hcn
35,期无界,,395000000.0,1442.94,19377200.0,63.05,14144700.0,2020-03-02,2026-02-25,qihuo7hcn
36,锐2号,,390000000.0,1558.74,22504200.0,69.0,1325500.0,2021-05-18,2023-11-07,qihuo7hcn
37,哈爱好哈2,,368000000.0,1700.94,12019600.0,30.83,198000.0,2020-12-25,2024-12-19,qihuo7hcn
38,小笨恒星三号,,348000000.0,271.46,85601299.99999999,51.85,1228600.0,2020-09-11,2026-01-19,qihuo7hcn
39,金猪1号,,346000000.0,5.74,336200.0,96.29,0.23,2018-12-26,2024-08-05,qihuo7hcn
40,高山流水,,340000000.0,1.16,1768700.0,52.7,100.89,2019-11-25,2024-06-06,qihuo7hcn
41,福州春哥-隐士摩期,,328000000.0,8967.09,4616300.0,41.19,0.56,2020-09-07,2024-06-07,qihuo7hcn
42,洼盈套利十一号,,327000000.0,1168.35,16985200.0,43.26,55524300.0,2022-01-28,2025-05-12,qihuo7hcn
43,在赢金牛贰号,,317000000.0,921.47,21585000.0,50.68,3016700.0,2020-10-09,2024-11-12,qihuo7hcn
44,高山流水2,,314000000.0,1.24,1570900.0,47.28,100.0,2020-07-20,2024-06-07,qihuo7hcn
45,长安财富3号期货基金,,306000000.0,5266.06,3703000.0,46.6,115300.0,2020-04-27,2024-06-07,qihuo7hcn
46,想想小仙女,,305000000.0,4042.22,3752799.9999999995,35.3,10300.0,2021-02-05,2024-06-07,qihuo7hcn
47,零点讲台-汇融zb,,298000000.0,620.14,68367300.0,46.38,1835.81,2019-11-29,2024-06-06,qihuo7hcn
48,连,,289000000.0,7396.41,2167600.0,46.4,1074900.0,2017-09-19,2026-02-25,qihuo7hcn
49,开拓者,,282000000.0,5997.83,1971699.9999999998,54.06,11060100.0,2012-04-09,2026-02-25,qihuo7hcn
50,心灵基金,,280000000.0,1370.16,10695000.0,46.42,11021500.0,2015-06-15,2026-02-03,qihuo7hcn
