rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,天风峰儿,,5596000000.0,171.45,93070400.00000001,61.79,3579.64,2021-06-04,2025-11-18,qihuo7hcn
2,老火鸡,,5557000000.0,391.38,29550600.0,45.43,66252200.0,2016-01-04,2025-12-11,qihuo7hcn
3,shhuanghuang,,3467000000.0,39.71,285000000.0,58.52,0.0,2015-06-01,2024-05-14,qihuo7hcn
4,桥睿001,,2387000000.0,79.53,69075500.0,42.86,19301700.0,2018-12-26,2024-06-06,qihuo7hcn
5,道无名,,2369000000.0,217.98,34284000.0,60.18,25000.0,2016-02-24,2026-02-25,qihuo7hcn
6,E,,1880999999.9999998,63.9,104000000.0,62.95,881300.0,2014-07-07,2026-02-25,qihuo7hcn
7,天心无改移,,1792000000.0000002,117.28,31256500.0,38.58,100.02,2014-08-25,2021-04-09,qihuo7hcn
8,海创锐投一号,,1580000000.0,3.54,944000000.0,49.97,5889.26,2019-08-22,2024-06-06,qihuo7hcn
9,静和投资静字1期,,1204000000.0,57.25,50976400.0,44.84,158200.0,2014-04-23,2022-11-29,qihuo7hcn
10,琅琊榜,,1177000000.0,335.14,7855100.0,61.34,0.8,2019-01-25,2024-06-06,qihuo7hcn
11,峰儿4,,1150000000.0,16.74,271000000.0,52.24,0.0,2021-02-08,2024-12-24,qihuo7hcn
12,荣28220,,1122000000.0,960.08,2570899.9999999995,100.0,10.76,2019-02-20,2024-06-06,qihuo7hcn
13,一颗星15徽商,,947000000.0000001,54.36,52976000.0,71.81,70100.0,2013-12-31,2024-06-06,qihuo7hcn
14,固利资产趋势为王,,922000000.0000001,38.13,41855000.0,72.24,1544700.0,2013-11-18,2026-01-20,qihuo7hcn
15,沈军2,,864000000.0,45.37,58380200.00000001,59.48,19200.0,2016-07-05,2024-06-06,qihuo7hcn
16,云河3号,,841000000.0,26.99,70278900.0,68.19,584600.0,2015-09-17,2024-06-06,qihuo7hcn
17,welison,,784000000.0,60.85,42402100.0,63.68,112999999.99999999,2019-02-14,2026-01-13,qihuo7hcn
18,刀姐GH,,762000000.0,6.71,233000000.0,50.54,11230300.0,2021-03-16,2026-01-09,qihuo7hcn
19,野火燎原,,755000000.0,195.2,14488599.999999998,54.37,127800.0,2020-08-19,2024-06-07,qihuo7hcn
20,机械师2 华安销户,,722000000.0,79.19,42002600.0,64.08,0.0,2018-04-10,2024-06-06,qihuo7hcn
21,青兰资本,,702000000.0,55.39,52585400.0,47.4,2795899.9999999995,2015-08-25,2022-11-15,qihuo7hcn
22,yimeizh1,,684000000.0,118.7,12101500.0,67.68,8.32,2015-11-13,2024-06-06,qihuo7hcn
23,牌桌上,,682000000.0,1038.91,1573100.0,71.46,104.23,2014-07-07,2024-06-06,qihuo7hcn
24,段波,,667000000.0,64.24,23668400.0,38.19,2403500.0,2019-12-30,2026-02-24,qihuo7hcn
25,0.3,,661000000.0,106.02,18648100.0,55.16,0.0,2022-04-27,2024-06-07,qihuo7hcn
26,雨后初晴,,652000000.0,124.49,16388800.000000002,37.26,1190900.0,2016-03-04,2024-06-06,qihuo7hcn
27,智瑶16,,637000000.0,22.08,44989799.99999999,44.74,0.0,2014-03-10,2024-06-06,qihuo7hcn
28,sztz,,630000000.0,133.86,13118400.0,48.53,0.0,2014-01-20,2021-04-06,qihuo7hcn
29,朦胧天人,,625000000.0,419.68,3239900.0,55.58,221500.0,2013-04-15,2025-12-18,qihuo7hcn
30,紫贝壳进取,,606000000.0,261.56,6087800.0,67.62,1142.1,2014-11-07,2023-10-13,qihuo7hcn
31,善财童子,,583000000.0,92.57,29663800.0,31.42,15100.0,2016-12-08,2024-06-06,qihuo7hcn
32,王卅丰1,,582000000.0,8.96,276000000.0,50.84,579800.0,2015-12-28,2026-02-13,qihuo7hcn
33,天外飞仙2,,569000000.0,890.79,1068900.0,64.17,1.37,2014-01-20,2021-04-08,qihuo7hcn
34,捕风,,565000000.0,33.41,68458900.0,45.53,1057.19,2016-11-25,2024-06-06,qihuo7hcn
35,rs2019,,563000000.0,3168.45,422600.0,100.0,0.65,2018-08-27,2024-06-06,qihuo7hcn
36,凯泽投资,,559000000.0,39.58,66628500.0,50.97,40900.0,2013-02-22,2019-05-28,qihuo7hcn
37,乐*乐,,556000000.0,302.37,5401900.000000001,45.85,294.57,2016-03-02,2024-06-06,qihuo7hcn
38,道纪投资程序化2号,,550000000.0,509.56,2158400.0,61.49,0.0,2014-09-04,2021-04-09,qihuo7hcn
39,unke-筑金子弹贰号,,548000000.0,46.6,64061300.0,51.24,660.63,2019-08-19,2022-07-07,qihuo7hcn
40,辣鸡,,532000000.0,5.71,192000000.0,50.92,2750.65,2019-11-18,2024-08-14,qihuo7hcn
41,套利2号,,519000000.00000006,2.56,429000000.0,50.05,0.0,2018-03-02,2025-12-29,qihuo7hcn
42,tonect,,511000000.00000006,91.65,13726000.0,40.66,1163.6,2016-03-24,2024-11-19,qihuo7hcn
43,取经的唐师傅,,504000000.0,2168.46,509400.0,77.02,0.0,2020-05-20,2024-06-07,qihuo7hcn
44,与取投资1号,,494000000.00000006,94.53,9132800.0,40.71,21463700.0,2014-12-01,2021-06-10,qihuo7hcn
45,wanhong,,491000000.0,52.39,17071200.0,57.84,0.0,2014-11-12,2019-09-30,qihuo7hcn
46,KevinZ,,476000000.0,26.75,66377200.0,33.32,0.66,2013-12-09,2024-06-06,qihuo7hcn
47,静观悟道,,463999999.99999994,12.24,231999999.99999997,54.01,2547.54,2017-11-23,2024-06-06,qihuo7hcn
48,期蛭,,461000000.00000006,20.3,19689800.0,50.09,892700.0,2014-03-24,2021-04-06,qihuo7hcn
49,养老靠它,,461000000.00000006,158.66,9836400.0,25.62,101.19,2015-02-12,2024-06-06,qihuo7hcn
50,跬步至千里华光号,,433000000.0,89.11,18224600.0,60.61,35713000.0,2019-09-02,2024-06-26,qihuo7hcn
