rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,天禾1号,,10000000000.0,102.76,120000000.0,54.53,1.39,2014-10-24,2021-04-09,qihuo7hcn
2,魔都小笨二,,10000000000.0,569.59,34550100.0,55.78,28600.0,2021-02-18,2024-06-07,qihuo7hcn
3,小笨团队A,,10000000000.0,45.62,237000000.0,45.23,35487700.0,2020-08-07,2026-02-25,qihuo7hcn
4,紫炮小霸王,,10000000000.0,91.74,672000000.0,52.23,3595200.0,2016-01-12,2026-02-24,qihuo7hcn
5,13829714743,,10000000000.0,520.46,295000000.0,72.46,10000.0,2016-03-02,2024-06-06,qihuo7hcn
6,善境投资（佛意）吴洪涛,,10000000000.0,22.04,1060000000.0,55.19,3734600.0,2013-07-08,2026-01-06,qihuo7hcn
7,独行侠,,9743000000.0,115.59,218000000.00000003,50.18,38.62,2011-04-22,2021-04-09,qihuo7hcn
8,妙为RS001,,5268000000.0,41.38,369000000.0,54.24,108.96,2012-06-11,2021-04-06,qihuo7hcn
9,爱旅游爱期货的豆你玩,,5231000000.0,36.31,212000000.0,53.01,191200.0,2021-02-18,2025-12-18,qihuo7hcn
10,泽臻,,4067000000.0,965.73,6241300.0,64.18,401.34,2017-10-09,2024-06-06,qihuo7hcn
11,一颗星15徽商,,4051000000.0,151.35,30592900.0,59.19,70100.0,2013-12-31,2025-07-17,qihuo7hcn
12,一颗星14华安凡,,3640999999.9999995,89.42,50780100.0,55.97,26700.0,2017-08-31,2026-01-19,qihuo7hcn
13,seedcapt,,3385000000.0,339.77,15869100.0,100.0,2179.02,2015-08-24,2024-06-06,qihuo7hcn
14,品,,3340000000.0,904.34,8522800.0,58.73,1000000.0,2013-02-19,2020-03-25,qihuo7hcn
15,老火鸡,,3156000000.0,221.37,21113200.0,40.32,66252200.0,2016-01-04,2026-02-12,qihuo7hcn
16,沈军2,,2930000000.0,232.33,17620700.0,56.44,19200.0,2016-07-05,2024-06-06,qihuo7hcn
17,xxx,,2764000000.0,1098.74,12972800.0,68.87,3508.61,2012-03-05,2021-04-07,qihuo7hcn
18,无锡聚商资产,,2734000000.0,19.3,306000000.0,47.36,0.0,2012-02-03,2021-04-09,qihuo7hcn
19,妙为为三,,2542000000.0,18.89,383000000.0,50.16,400.0,2012-05-14,2021-04-06,qihuo7hcn
20,吴洪涛,,2528000000.0,26.38,211000000.0,61.69,0.18,2013-10-08,2021-04-09,qihuo7hcn
21,swt530,,2489000000.0,141.39,52799300.0,56.9,4329.88,2015-06-15,2024-06-06,qihuo7hcn
22,思思飞,,2389000000.0,84.32,44143200.0,40.73,341.36,2013-10-08,2025-10-29,qihuo7hcn
23,合顺七号,,2271000000.0,142.0,24186500.0,52.83,0.0,2023-05-22,2025-09-30,qihuo7hcn
24,小笨12号,,2267000000.0,221.99,14919000.0,54.13,4412100.0,2020-08-07,2023-01-10,qihuo7hcn
25,段力铭15609169446,,2253000000.0,1255.78,2710600.0,92.45,5370400.0,2018-10-25,2025-11-05,qihuo7hcn
26,紫枪小霸王,,2155000000.0,47.27,90186700.0,51.74,19.11,2014-04-25,2021-04-09,qihuo7hcn
27,xmkyx20191023,,2130000000.0,126.91,10108800.0,69.78,100.0,2019-10-22,2022-07-07,qihuo7hcn
28,spritetu,,1948000000.0,487.59,8670200.0,66.89,3235400.0,2016-01-08,2026-01-13,qihuo7hcn
29,rkzc,,1928000000.0,43.57,66798300.0,49.72,13070900.0,2016-03-11,2021-05-13,qihuo7hcn
30,yuanaifei4,,1830000000.0,108.3,36946700.0,44.49,176.49,2014-11-10,2025-04-18,qihuo7hcn
31,做空很烂做多更差,,1823999999.9999998,196.87,27578600.0,59.74,0.0,2012-10-08,2025-10-23,qihuo7hcn
32,太空二号,,1800000000.0,163.07,17601100.0,43.66,1018.97,2016-04-25,2024-06-06,qihuo7hcn
33,沈军1,,1769000000.0000002,310.12,10975300.0,65.59,85100.0,2016-07-05,2024-06-06,qihuo7hcn
34,玄武盛和CTA壹号,,1689000000.0,160.03,17503700.0,49.86,3064900.0,2015-10-23,2024-06-06,qihuo7hcn
35,何足道,,1654000000.0,36.43,77688900.0,47.96,1.53,2012-02-15,2021-04-09,qihuo7hcn
36,持赢投资,,1632000000.0,172.32,38230300.0,68.55,0.0,2012-05-18,2021-04-07,qihuo7hcn
37,L,,1625000000.0,49.01,38075500.0,45.12,769.64,2018-08-31,2025-02-26,qihuo7hcn
38,妙为-ZMF,,1581000000.0,12.97,366000000.0,51.85,100.68,2012-07-19,2021-04-07,qihuo7hcn
39,鼎栋多策略8号,,1538000000.0,241.18,9648400.0,54.56,0.0,2023-04-17,2025-09-11,qihuo7hcn
40,南华磊磊,,1527000000.0,12.05,259000000.0,52.56,0.0,2012-09-21,2019-01-04,qihuo7hcn
41,豆你玩15,,1511000000.0,76.96,29987300.0,51.21,200.67,2018-01-02,2021-04-06,qihuo7hcn
42,德邻资产1号,,1449000000.0,237.91,8532100.0,67.38,21300.0,2016-10-26,2024-06-06,qihuo7hcn
43,琅琊榜,,1441000000.0,479.87,4525000.0,46.7,0.8,2019-01-25,2024-06-06,qihuo7hcn
44,林岩,,1434000000.0,880.15,4072900.0,100.0,2382.59,2016-06-14,2024-06-06,qihuo7hcn
45,北高峰-2013,,1419000000.0,153.85,27660500.0,45.25,100.17,2013-11-26,2021-04-09,qihuo7hcn
46,ccivo123,,1415000000.0,504.98,7479100.0,43.35,100.13,2012-05-15,2024-06-06,qihuo7hcn
47,上善品投资,,1392000000.0,148.85,7933900.0,63.19,10053200.0,2015-03-24,2021-03-26,qihuo7hcn
48,welison,,1376000000.0,232.06,8879400.0,63.75,112999999.99999999,2019-02-14,2025-12-15,qihuo7hcn
49,杨1,,1374000000.0,1026.97,2086600.0,67.83,4719600.0,2022-05-26,2026-02-04,qihuo7hcn
50,合顺一号,,1365000000.0,68.05,30413100.0,46.3,61321800.0,2022-01-14,2026-02-24,qihuo7hcn
