rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,爱旅游爱期货的豆你玩,,9169000000.0,864.65,23725300.000000004,55.56,191200.0,2021-02-18,2025-12-11,qihuo7hcn
2,小笨团队A,,8846000000.0,112.65,154000000.0,46.33,35487700.0,2020-08-07,2026-02-25,qihuo7hcn
3,一颗星15徽商,,4906000000.0,332.39,24432000.0,63.06,70100.0,2013-12-31,2024-06-06,qihuo7hcn
4,紫炮小霸王,,3588000000.0000005,171.62,42008700.0,48.54,3595200.0,2016-01-12,2026-02-25,qihuo7hcn
5,紫棍小霸王,,2281000000.0,231.86,15412100.0,53.37,38100.0,2016-10-28,2026-02-25,qihuo7hcn
6,welison,,1655000000.0,719.39,3491500.0,57.11,112999999.99999999,2019-02-14,2025-12-26,qihuo7hcn
7,吴洪涛,,1397000000.0,198.23,23378200.0,77.08,0.18,2013-10-08,2021-04-09,qihuo7hcn
8,盘前计划续,,1253000000.0,85.62,29347100.0,49.9,306200.0,2019-10-31,2024-12-27,qihuo7hcn
9,小笨12号,,1198000000.0,1472.01,1918600.0000000002,63.88,4412100.0,2020-08-07,2023-01-10,qihuo7hcn
10,開凰一号,,1161000000.0,6300.29,1174600.0,100.0,223200.0,2021-12-03,2024-06-07,qihuo7hcn
11,飞鹤东航,,1109000000.0,691.22,3682500.0,84.9,14.42,2013-09-02,2024-06-06,qihuo7hcn
12,乘风期货,,993000000.0,941.72,1744400.0,59.3,10.36,2019-04-12,2023-08-07,qihuo7hcn
13,证期之家20组,,915000000.0,8488.21,256400.0,98.3,1338.34,2020-04-13,2024-06-07,qihuo7hcn
14,浩睿1号,,894999999.9999999,302.01,5871799.999999999,49.61,1.36,2020-06-02,2024-06-06,qihuo7hcn
15,宝盈7号,,875000000.0,244.8,7288300.0,36.06,24779500.0,2016-07-18,2026-02-05,qihuo7hcn
16,一颗星14华安凡,,849000000.0,172.78,4869100.0,66.57,26700.0,2017-08-31,2024-06-06,qihuo7hcn
17,swt530,,843000000.0,1137.52,3334400.0,78.52,4329.88,2015-06-15,2024-06-06,qihuo7hcn
18,goodchinas,,809000000.0,960.16,2332700.0,98.11,3303.58,2012-09-04,2024-06-06,qihuo7hcn
19,随便吧,,797000000.0,225.96,4371900.0,68.83,0.0,2014-11-06,2024-06-06,qihuo7hcn
20,合顺六号,,724000000.0,161.54,9048000.0,52.88,2206.49,2023-04-11,2024-06-07,qihuo7hcn
21,琳石-找伯乐,,721000000.0,168.66,6151100.0,66.83,1.55,2014-03-03,2022-07-07,qihuo7hcn
22,让您盈利就好,,702000000.0,4628.74,739100.0,74.02,1148.2,2016-01-06,2024-06-06,qihuo7hcn
23,辣可不一样,,690000000.0,276.06,4985100.0,46.87,2.04,2014-06-16,2024-06-06,qihuo7hcn
24,期货小草,,672000000.0,47.08,5668900.0,35.39,2054900.0,2016-11-18,2025-02-14,qihuo7hcn
25,紫枪小霸王,,638000000.0,733.12,2359200.0,61.79,19.11,2014-04-25,2021-04-09,qihuo7hcn
26,GodTreeQuant1,,632000000.0,23.34,71446100.0,57.7,1869.44,2014-03-10,2024-06-06,qihuo7hcn
27,妙为为三,,627000000.0,106.14,17727000.0,56.09,400.0,2012-05-14,2021-04-06,qihuo7hcn
28,小菲菲4,,558000000.0,4864.47,252500.0,100.0,1001.0,2017-12-05,2024-06-06,qihuo7hcn
29,壁虎资本,,545000000.0,368.51,5289500.0,67.71,3469200.0,2014-07-21,2024-06-06,qihuo7hcn
30,鸿观量化,,540000000.0,1737.6,825200.0,51.35,0.0,2020-07-06,2024-06-07,qihuo7hcn
31,永泰投资,,530999999.99999994,228.9,1540400.0,43.52,1001.0,2016-06-16,2024-06-06,qihuo7hcn
32,爱飞五矿,,515000000.00000006,657.83,1566100.0000000002,27.84,7502300.0,2022-02-23,2025-02-14,qihuo7hcn
33,晨曦2号,,490000000.00000006,832.62,1766300.0,73.58,0.0,2013-12-04,2018-11-29,qihuo7hcn
34,KevinZ,,488999999.99999994,42.38,42591100.0,32.67,0.66,2013-12-09,2024-06-06,qihuo7hcn
35,亭林公园2号,,483000000.0,338.95,2027800.0,56.01,0.0,2014-06-09,2025-10-29,qihuo7hcn
36,少隐,,475000000.0,45.32,51065600.00000001,32.87,1000.05,2013-01-18,2024-06-06,qihuo7hcn
37,让子弹飞-正言稳健壹号,,453000000.0,437.11,3406800.0,62.82,0.0,2020-07-06,2024-02-19,qihuo7hcn
38,飞鹤短线,,423000000.00000006,1678.24,757000.0,87.49,200.96,2013-01-09,2024-06-06,qihuo7hcn
39,云中漫步,,423000000.00000006,4663.17,244899.99999999997,100.0,5105800.0,2013-09-03,2016-12-30,qihuo7hcn
40,顾梦德银河,,389000000.0,148.03,7222900.0,60.15,1386.2,2013-06-07,2022-07-07,qihuo7hcn
41,老孔1,,376000000.0,852.33,354600.0,62.62,1836.67,2020-01-07,2024-06-06,qihuo7hcn
42,立胜,,372000000.0,14.5,37647100.0,64.25,42900.0,2013-11-29,2024-06-06,qihuo7hcn
43,jason,,372000000.0,205.37,3796700.0,73.31,1568.6,2013-08-09,2024-06-06,qihuo7hcn
44,如意石二,,363000000.0,129.06,7458000.0,50.77,1136.82,2012-11-21,2024-06-06,qihuo7hcn
45,皓月200,,361000000.0,40.67,24296100.0,58.28,20600.0,2011-04-25,2020-07-24,qihuo7hcn
46,好合基金,,342000000.0,257.63,3408399.9999999995,53.8,91700.0,2012-06-13,2021-04-07,qihuo7hcn
47,东方汇金进取1号,,333000000.0,695.05,1893700.0,46.45,1212800.0,2015-04-20,2024-06-06,qihuo7hcn
48,卧虎先生,,316000000.0,420.71,3675000.0,76.26,8009299.999999999,2013-11-11,2016-04-28,qihuo7hcn
49,Z888YY,,316000000.0,200.9,4589600.0,51.92,500.08,2013-04-01,2021-04-09,qihuo7hcn
50,十趴每月,,315000000.0,47.98,18161600.0,59.24,100.66,2014-06-16,2021-04-09,qihuo7hcn
