rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,十年一剑999,,10000000000.0,283.78,189000000.0,55.19,0.91,2017-06-19,2024-06-06,qihuo7hcn
2,京笙进取5号,,10000000000.0,417.81,469000000.00000006,58.33,0.0,2016-02-29,2024-06-06,qihuo7hcn
3,112,,10000000000.0,246.22,249000000.00000003,58.67,571.24,2017-07-24,2024-09-18,qihuo7hcn
4,13829714743,,10000000000.0,1258.56,625000000.0,69.4,10000.0,2016-03-02,2024-06-06,qihuo7hcn
5,煌石投资,,9295000000.0,766.19,46367900.0,85.65,27500.0,2019-01-18,2024-06-06,qihuo7hcn
6,逢赌必输,,9107000000.0,199.65,174000000.0,47.25,8638300.0,2013-03-11,2026-01-21,qihuo7hcn
7,智瑶16,,7380000000.0,537.23,20055500.0,50.71,0.0,2014-03-10,2024-06-06,qihuo7hcn
8,磁性战法,,7008000000.0,610.75,63207500.0,64.36,685.67,2017-09-05,2024-06-06,qihuo7hcn
9,枫001,,6293000000.0,66.47,377000000.0,44.88,1000.51,2016-09-26,2024-09-23,qihuo7hcn
10,三盈二号,,5233000000.0,25.91,783000000.0,55.8,1101.3,2018-02-27,2024-06-06,qihuo7hcn
11,0.3,,5203000000.0,290.51,74837200.0,56.14,0.0,2022-04-27,2024-06-07,qihuo7hcn
12,火鸟007,,5100000000.0,262.05,67447800.0,70.41,1100.0,2018-12-10,2024-06-06,qihuo7hcn
13,577,,4887000000.0,19.61,886000000.0,62.16,1000000.0,2016-03-28,2024-06-06,qihuo7hcn
14,103606141,,4425000000.0,31.84,363000000.0,54.61,2922900.0,2013-10-08,2025-07-03,qihuo7hcn
15,林岩,,4172000000.0,13.01,1685000000.0000002,43.23,2382.59,2016-06-14,2024-06-06,qihuo7hcn
16,英大振宇7号,,3921000000.0,355.82,26608600.0,66.2,1165.81,2014-03-04,2024-06-06,qihuo7hcn
17,王卅丰1,,3599000000.0,25.97,438999999.99999994,65.02,579800.0,2015-12-28,2026-01-20,qihuo7hcn
18,HQQ,,3460000000.0,1.67,4617000000.0,38.25,8.25,2015-03-09,2024-10-25,qihuo7hcn
19,京笙进取1号,,3267000000.0,851.46,8717000.0,84.01,1001.0,2015-09-07,2024-06-06,qihuo7hcn
20,释放,,3037000000.0,70.04,168000000.0,76.75,0.12,2017-11-06,2025-07-24,qihuo7hcn
21,小黑妞福星,,2972000000.0,230.74,29188000.0,51.31,289200.0,2012-03-19,2018-07-03,qihuo7hcn
22,大海的方向,,2895000000.0,55.34,210000000.0,38.34,7317200.0,2014-07-11,2024-06-06,qihuo7hcn
23,玄武盛和CTA壹号,,2854000000.0,23.47,512000000.0,39.09,3064900.0,2015-10-23,2024-06-06,qihuo7hcn
24,卧虎先生,,2814000000.0,192.12,24947199.999999996,59.22,8009299.999999999,2013-11-11,2016-04-28,qihuo7hcn
25,rkzc,,2810000000.0,68.4,195000000.0,49.0,13070900.0,2016-03-11,2021-05-13,qihuo7hcn
26,L,,2785000000.0,68.49,169000000.0,70.23,769.64,2018-08-31,2025-07-28,qihuo7hcn
27,厕所SAMA,,2610000000.0,6.01,2621000000.0,45.3,7.86,2015-02-06,2023-08-07,qihuo7hcn
28,紫棍小霸王,,2573000000.0,37.96,270000000.0,46.26,38100.0,2016-10-28,2024-06-06,qihuo7hcn
29,乔司老板,,2525000000.0,98.5,98156600.0,45.19,1192.61,2017-03-30,2024-06-06,qihuo7hcn
30,无锡聚商资产,,2486000000.0,10.12,419000000.00000006,48.32,0.0,2012-02-03,2021-04-09,qihuo7hcn
31,小明安粮,,2437000000.0,29.24,334000000.0,56.77,0.0,2020-08-24,2024-06-07,qihuo7hcn
32,玮,,2401000000.0,3.52,1859000000.0,49.97,494.14,2015-04-02,2024-06-06,qihuo7hcn
33,元鼎五号,,2389000000.0,37.26,237000000.0,55.28,8778600.0,2017-06-19,2023-03-17,qihuo7hcn
34,王国华001,,2207000000.0,44.06,338000000.0,31.99,1190900.0,2012-05-18,2021-04-07,qihuo7hcn
35,鲁班七号,,2127000000.0,15.0,564000000.0,45.48,1033.94,2016-11-11,2024-06-06,qihuo7hcn
36,KevinZ,,2077000000.0,92.67,112000000.00000001,37.52,0.66,2013-12-09,2024-06-06,qihuo7hcn
37,天泓基金,,2046000000.0,28.0,335000000.0,38.81,9354.25,2016-05-09,2024-06-06,qihuo7hcn
38,futureshero,,2039999999.9999998,163.43,47368500.0,76.16,0.0,2017-12-11,2024-06-06,qihuo7hcn
39,開凰一号,,2014999999.9999998,2140.55,4597800.0,75.25,223200.0,2021-12-03,2024-08-30,qihuo7hcn
40,Rochester,,1985000000.0000002,90.11,73272100.0,44.88,0.0,2016-03-11,2019-03-15,qihuo7hcn
41,奔驰的卡宴,,1948000000.0,103.96,73404200.0,57.7,0.0,2018-02-05,2021-08-23,qihuo7hcn
42,龙之翼,,1937000000.0,109.11,66994200.0,52.13,1001.0,2018-03-16,2024-08-14,qihuo7hcn
43,飞鸟量化交易策略,,1910000000.0000002,117.89,35387300.0,18.56,5200599.999999999,2015-07-27,2018-04-02,qihuo7hcn
44,槊文资产,,1910000000.0000002,196.43,36790800.0,58.34,16700.0,2017-04-05,2024-06-06,qihuo7hcn
45,哈爱好哈,,1893000000.0,193.21,57453600.0,30.97,0.0,2015-12-07,2024-06-06,qihuo7hcn
46,广州聚沙激进1号,,1888000000.0,779.55,13526400.000000002,45.52,1353.49,2019-12-02,2024-06-07,qihuo7hcn
47,小笨12号,,1825000000.0,358.05,23055800.0,56.44,4412100.0,2020-08-07,2023-01-10,qihuo7hcn
48,鱼跃62,,1770000000.0,97.72,14494900.0,44.38,10.0,2014-07-01,2021-04-09,qihuo7hcn
49,王永民11554899,,1753000000.0,75.54,68934700.0,52.63,112.61,2014-01-22,2023-08-07,qihuo7hcn
50,英大振威3号,,1739999999.9999998,271.84,50416200.0,52.31,1.15,2014-02-28,2023-08-07,qihuo7hcn
