rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,枫001,,10000000000.0,6686.78,34666800.0,44.45,1000.51,2016-09-26,2025-02-13,qihuo7hcn
2,小笨团队A,,9151000000.0,412.16,252000000.0,42.42,35487700.0,2020-08-07,2026-02-25,qihuo7hcn
3,一颗星14华安凡,,5453000000.0,3601.98,18221800.0,76.59,26700.0,2017-08-31,2024-06-06,qihuo7hcn
4,老火鸡,,3214000000.0,4582.07,14049500.0,40.75,66252200.0,2016-01-04,2026-01-12,qihuo7hcn
5,小笨12号,,2292000000.0,1.36,3263200.0,59.63,4412100.0,2020-08-07,2023-01-10,qihuo7hcn
6,磁性战法,,1875000000.0,4511.78,9860200.0,77.24,685.67,2017-09-05,2024-06-06,qihuo7hcn
7,合顺一号,,1689999999.9999998,1021.67,15647100.0,42.75,61321800.0,2022-01-14,2026-02-13,qihuo7hcn
8,水之源1,,1643000000.0,33.56,92674200.0,38.01,1.15,2012-11-26,2024-06-06,qihuo7hcn
9,yuanaifei4,,1515000000.0,6074.39,4472800.0,46.96,176.49,2014-11-10,2025-04-08,qihuo7hcn
10,don_hsu,,1436000000.0,837.24,19544200.0,40.41,0.0,2018-08-28,2024-06-06,qihuo7hcn
11,零点讲台-汇融zb,,1225000000.0,385.67,10620100.0,53.56,1835.81,2019-11-29,2024-06-06,qihuo7hcn
12,天云生辉低调广洋,,1079000000.0,518.04,3611000.0,43.47,11032600.0,2021-07-13,2026-02-02,qihuo7hcn
13,华金天心,,1019000000.0,1995.27,2512600.0,47.61,3911000.0,2022-03-02,2026-02-06,qihuo7hcn
14,盘前计划续,,967000000.0,88.97,33725400.0,46.64,306200.0,2019-10-31,2024-12-31,qihuo7hcn
15,迪马,,867000000.0,250.54,33924300.0,51.66,21640800.0,2021-01-04,2026-02-25,qihuo7hcn
16,德莱斯勒NO.3,,810000000.0,8371.0,1841800.0,64.3,0.0,2020-07-10,2024-06-07,qihuo7hcn
17,鑫资本柏量化,,810000000.0,8760.68,3582400.0,71.59,4650.67,2020-03-09,2024-06-07,qihuo7hcn
18,twinstar,,797000000.0,311.78,18289700.0,38.28,369500.0,2019-01-02,2025-12-17,qihuo7hcn
19,长量爱飞1号,,750000000.0,1810.91,6395900.0,47.06,72512100.0,2020-04-02,2025-09-08,qihuo7hcn
20,东证天心,,740000000.0,2529.08,1633100.0,42.47,14225300.0,2022-03-04,2026-02-13,qihuo7hcn
21,在赢金牛贰号,,696000000.0,1317.84,3275800.0,48.03,3016700.0,2020-10-09,2024-11-12,qihuo7hcn
22,旭冕hj,,691000000.0,3116.43,2976600.0000000005,64.76,0.0,2021-06-01,2024-06-07,qihuo7hcn
23,木贝勒-追击六号,,673000000.0,344.06,10150700.0,35.43,10.0,2019-01-14,2024-06-06,qihuo7hcn
24,星渺进取2号,,633000000.0,1996.06,5022300.0,46.78,0.01,2019-07-01,2021-06-17,qihuo7hcn
25,证期之家5组,,628000000.0,546.73,13769700.0,46.21,5739100.0,2020-04-10,2025-06-27,qihuo7hcn
26,水木长量-兴证期货,,627000000.0,3266.69,3090500.0,51.37,28589000.0,2016-01-19,2025-09-08,qihuo7hcn
27,Melin,,602000000.0,3855.06,705699.9999999999,55.61,5299700.0,2021-03-05,2024-06-07,qihuo7hcn
28,上善品投资,,596000000.0,753.19,4567000.0,64.67,10053200.0,2015-03-24,2021-03-26,qihuo7hcn
29,0.3,,565000000.0,1910.84,4790800.0,58.82,0.0,2022-04-27,2024-06-07,qihuo7hcn
30,阿荣,,560000000.0,134.49,8116100.0,52.85,4375300.0,2018-05-18,2024-06-06,qihuo7hcn
31,毛鸡蛋,,554000000.0,48.95,476300.0,39.84,10.57,2019-11-01,2024-06-06,qihuo7hcn
32,李文艳,,553000000.0,1760.03,5053000.0,32.49,6330800.0,2020-04-02,2026-01-12,qihuo7hcn
33,猛虎下山,,547000000.0,135.86,2189400.0,38.9,174700.0,2016-06-20,2025-12-26,qihuo7hcn
34,佛山六鼎,,544000000.0,990.98,5033000.0,55.95,10.45,2014-04-21,2023-08-07,qihuo7hcn
35,在赢CTA,,533000000.0,9.2,117400.0,100.0,0.97,2020-11-09,2023-08-07,qihuo7hcn
36,稳健主观玩玩,,528000000.0,2546.7,4123300.0,38.19,0.0,2018-03-21,2024-06-06,qihuo7hcn
37,yuanaifei3,,518000000.0,1428.27,18797300.0,32.16,0.0,2014-07-23,2025-03-21,qihuo7hcn
38,槊文资产,,509999999.99999994,2878.34,1631200.0,78.88,16700.0,2017-04-05,2024-06-06,qihuo7hcn
39,盘前计划2,,505999999.99999994,319.96,3564300.0,47.1,66.13,2020-03-24,2023-08-07,qihuo7hcn
40,ysfbehe123,,503000000.0,929.99,2368800.0,28.62,2269.62,2019-05-13,2024-06-06,qihuo7hcn
41,期无界,,497000000.0,651.63,14703900.000000002,50.14,14144700.0,2020-03-02,2026-01-09,qihuo7hcn
42,刘叶青,,474000000.0,1120.75,6702000.0,41.9,0.0,2018-10-31,2024-06-06,qihuo7hcn
43,yuantuotuoo,,454000000.0,439.11,1852400.0,45.11,1.0,2018-10-15,2024-06-06,qihuo7hcn
44,光头大胡子,,436000000.00000006,1434.08,1629500.0,60.23,0.0,2017-03-06,2024-06-06,qihuo7hcn
45,逗逗,,412000000.0,2072.71,1720100.0,54.26,21.46,2018-08-10,2024-06-06,qihuo7hcn
46,荣28220,,409000000.0,7779.2,1093000.0,100.0,10.76,2019-02-20,2024-06-06,qihuo7hcn
47,元朔,,401000000.0,366.79,14448500.0,46.09,3376500.0,2021-11-05,2025-01-09,qihuo7hcn
48,三难,,394000000.0,84.8,23549800.0,41.5,1010.77,2015-12-07,2024-06-06,qihuo7hcn
49,探路人,,377000000.0,2176.92,3114800.0,39.74,3350299.9999999995,2020-03-02,2025-12-29,qihuo7hcn
50,我是你的提款机,,373000000.0,433.21,3414000.0,86.5,1062.02,2021-03-17,2024-06-07,qihuo7hcn
