rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,開凰一号,,323000000.0,2383.83,974500.0,51.75,223200.0,2021-12-03,2024-11-06,qihuo7hcn
2,猛虎下山,,210000000.0,76.14,6229500.0,44.75,174700.0,2016-06-20,2025-12-26,qihuo7hcn
3,Melin,,108000000.0,284.5,1352400.0,66.41,5299700.0,2021-03-05,2025-06-06,qihuo7hcn
4,探路人,,84326200.00000001,768.76,765300.0,59.03,3350299.9999999995,2020-03-02,2026-01-30,qihuo7hcn
5,心灵基金,,75910600.0,285.16,1845200.0,51.51,11021500.0,2015-06-15,2025-07-28,qihuo7hcn
6,希望在转角1,,70077800.0,1184.31,168700.0,37.79,16879400.0,2012-09-19,2025-12-15,qihuo7hcn
7,猪八戒,,51263200.0,349.86,519500.0,74.81,66900.0,2022-03-07,2024-09-13,qihuo7hcn
8,广白CTA,,46687500.0,2734.1,92500.0,60.64,2919200.0,2022-10-24,2025-11-10,qihuo7hcn
9,知行合一gan,,46569000.0,515.87,159900.0,33.77,1284.87,2018-10-09,2024-06-06,qihuo7hcn
10,汇智融达-零花钱2号,,40588400.0,113.27,1107200.0,50.27,1000000.0,2022-11-14,2025-08-22,qihuo7hcn
11,一路向北001,,39567100.0,414.76,850300.0,59.95,0.01,2021-10-27,2024-06-07,qihuo7hcn
12,云杉树CTA00号2,,37760700.0,983.35,337800.0,42.93,8315.38,2023-02-14,2024-08-27,qihuo7hcn
13,103606141,,34062400.0,97.25,1365200.0,31.82,2922900.0,2013-10-08,2025-07-30,qihuo7hcn
14,宝盈7号,,32198400.0,227.06,982500.0,27.65,24779500.0,2016-07-18,2026-02-02,qihuo7hcn
15,刘11,,27832800.000000004,1219.02,161600.0,78.92,0.0,2023-05-15,2024-06-07,qihuo7hcn
16,简繁量化一号,,27407900.0,1630.45,113800.00000000001,59.96,6386900.000000001,2022-03-15,2026-01-08,qihuo7hcn
17,长安财富3号期货基金,,24515800.0,585.72,307800.0,36.35,115300.0,2020-04-27,2024-06-07,qihuo7hcn
18,想想小仙女,,24406500.0,859.32,224899.99999999997,86.13,10300.0,2021-02-05,2024-06-07,qihuo7hcn
19,卧龙-过河卒,,22355800.0,459.75,269500.0,46.02,30700.0,2018-09-21,2025-11-20,qihuo7hcn
20,闲云野鹤_宏源,,18036100.0,164.17,671800.0000000001,56.86,2199400.0,2023-05-15,2025-10-16,qihuo7hcn
21,designic_ha,,16436800.0,897.99,128500.0,32.52,2202300.0,2021-11-10,2026-02-09,qihuo7hcn
22,freegtd,,14676099.999999998,69.75,181300.0,40.52,754200.0,2021-08-30,2026-01-28,qihuo7hcn
23,稳续投资,,14389900.0,98.11,718800.0,48.31,6158.19,2021-12-03,2025-07-24,qihuo7hcn
24,藤萝系甲1,,13870000.0,206.85,350400.0,36.07,0.0,2021-12-13,2024-05-31,qihuo7hcn
25,at3630996,,13525300.0,90.15,396900.0,55.55,0.0,2017-02-20,2024-11-14,qihuo7hcn
26,自由与荣耀,,13386000.0,530.14,141500.0,71.86,145.77,2019-06-28,2024-10-17,qihuo7hcn
27,凤凰,,13300300.0,1314.78,178600.0,58.39,20.73,2022-01-10,2025-08-11,qihuo7hcn
28,大信,,13276500.0,3033.23,38700.0,71.24,160.28,2014-06-10,2025-07-22,qihuo7hcn
29,超牛基金,,12964000.0,163.66,334000.0,60.18,76.81,2022-09-05,2024-10-25,qihuo7hcn
30,郭锴,,12805500.0,4437.11,22900.0,98.96,258800.0,2015-02-25,2024-12-10,qihuo7hcn
31,sadzh,,12608000.0,168.32,277.62,51.62,0.0,2020-07-13,2025-06-03,qihuo7hcn
