rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,天禾1号,,6631000000.0,228.63,34483600.0,68.79,1.39,2014-10-24,2021-04-09,qihuo7hcn
2,无锡聚商资产,,5855000000.0,33.49,39141500.0,47.52,0.0,2012-02-03,2021-04-09,qihuo7hcn
3,轻仓稳定盈利,,3931000000.0,167.77,56124600.0,65.38,430.63,2015-11-13,2024-06-06,qihuo7hcn
4,wanhong,,3390000000.0,845.89,14362200.0,83.29,0.0,2014-11-12,2019-09-30,qihuo7hcn
5,天心无改移,,2959000000.0,76.59,36681300.0,37.54,100.02,2014-08-25,2021-04-09,qihuo7hcn
6,20号,,2151000000.0,7.93,541000000.0,45.85,6746100.0,2011-12-06,2024-10-16,qihuo7hcn
7,北高峰-2013,,1739999999.9999998,530.65,14677100.0,63.48,100.17,2013-11-26,2021-04-09,qihuo7hcn
8,水木长量-兴证期货,,1584000000.0,255.61,17882200.0,39.67,28589000.0,2016-01-19,2025-07-18,qihuo7hcn
9,投资在线2号,,1307000000.0,769.64,4367100.0,73.99,641.54,2013-09-25,2021-04-09,qihuo7hcn
10,L,,1263000000.0,184.85,8751900.0,63.87,769.64,2018-08-31,2024-06-24,qihuo7hcn
11,sun3096,,1250000000.0,76.13,60767700.00000001,44.22,10.88,2011-01-18,2021-04-07,qihuo7hcn
12,mumu01,,1084000000.0,46.46,26401600.0,52.96,100.49,2015-06-15,2021-04-09,qihuo7hcn
13,套利基金,,973000000.0,6.0,68354300.0,53.16,100.0,2012-01-30,2021-04-07,qihuo7hcn
14,皓月200,,941000000.0,2.38,233000000.0,52.29,20600.0,2011-04-25,2020-07-24,qihuo7hcn
15,南华磊磊,,936999999.9999999,11.72,90716900.0,52.06,0.0,2012-09-21,2019-01-04,qihuo7hcn
16,oyrb,,921000000.0000001,428.04,5568000.0,55.56,0.0,2014-06-04,2024-06-06,qihuo7hcn
17,圆融投资二号,,891000000.0,68.03,32475000.0,48.4,0.0,2013-07-02,2021-04-09,qihuo7hcn
18,野火燎原,,880000000.0000001,628.08,3695800.0,67.3,127800.0,2020-08-19,2024-06-07,qihuo7hcn
19,益三,,850000000.0,80.16,7526200.0,51.32,74800.0,2013-11-19,2026-01-15,qihuo7hcn
20,独行侠,,795000000.0,15.46,108000000.0,43.52,38.62,2011-04-22,2021-04-09,qihuo7hcn
21,開凰一号,,794000000.0,1075.46,2138700.0,68.41,223200.0,2021-12-03,2024-06-07,qihuo7hcn
22,静和投资静字1期,,786000000.0,86.41,30797900.0,41.33,158200.0,2014-04-23,2022-11-29,qihuo7hcn
23,零鈤1号,,759000000.0,4.04,20536800.0,50.59,8.47,2013-12-31,2023-08-07,qihuo7hcn
24,xmkyx20191023,,752000000.0,71.73,9147000.0,63.13,100.0,2019-10-22,2022-07-07,qihuo7hcn
25,希望在转角1,,747000000.0,27.25,11756900.0,21.63,16879400.0,2012-09-19,2025-12-23,qihuo7hcn
26,磁性战法,,733000000.0,196.02,13927000.0,52.87,685.67,2017-09-05,2024-06-06,qihuo7hcn
27,在赢投资-灰太郎,,727000000.0,64.19,9297100.0,42.65,63700.0,2014-04-08,2024-10-10,qihuo7hcn
28,聚星,,695000000.0,66.09,27762000.0,51.6,11789200.0,2015-08-06,2021-03-01,qihuo7hcn
29,yuanaifei4,,694000000.0,100.3,20382000.0,40.79,176.49,2014-11-10,2025-04-15,qihuo7hcn
30,高翔2号,,668000000.0,43.55,36313800.0,31.49,9.99,2014-03-11,2021-04-09,qihuo7hcn
31,方圆,,613000000.0,26.6,23467300.0,45.92,100.21,2014-01-06,2021-04-06,qihuo7hcn
32,不猜行情,,575000000.0,1585.31,2901400.0,79.73,1000.0,2010-11-22,2021-04-07,qihuo7hcn
33,jl666888,,568000000.0,123.61,10401199.999999998,43.28,10800.0,2019-05-27,2024-06-06,qihuo7hcn
34,期待黑天鹅1,,567000000.0,630.41,2516300.0,47.06,1213300.0,2017-01-23,2024-06-06,qihuo7hcn
35,天择对冲进取1号,,549000000.0,9.17,50941100.0,50.95,3109400.0,2019-03-18,2026-02-13,qihuo7hcn
36,杰西利弗莫尔,,548000000.0,30.54,3228399.9999999995,43.42,0.15,2012-05-31,2021-04-06,qihuo7hcn
37,吴燕,,533000000.0,352.71,5093700.0,84.98,20.49,2012-09-13,2021-04-09,qihuo7hcn
38,中线淘金,,517000000.0,75.37,54538600.0,42.3,1001.17,2011-05-23,2021-04-14,qihuo7hcn
39,秀,,516000000.0,74.16,20818400.0,48.49,416700.0,2014-04-14,2024-06-06,qihuo7hcn
40,点石资管,,515000000.00000006,63.04,4535200.0,69.21,18.31,2015-07-31,2022-07-07,qihuo7hcn
41,清风投资,,511000000.00000006,208.24,5869900.0,71.85,1054.52,2015-06-11,2024-06-06,qihuo7hcn
42,持盈投资,,505000000.0,198.49,5962100.0,19.87,0.0,2012-04-06,2021-04-07,qihuo7hcn
43,Melin,,504000000.0,283.8,3560200.0,56.76,5299700.0,2021-03-05,2024-06-07,qihuo7hcn
44,浪花三号,,499000000.0,77.12,18172500.0,43.62,86645900.0,2014-03-11,2025-05-09,qihuo7hcn
45,涌顺投资,,497000000.0,33.8,18184200.0,41.46,110100.0,2015-04-13,2025-11-03,qihuo7hcn
46,飞鹤东航,,492000000.0,126.1,5527400.0,66.66,14.42,2013-09-02,2024-06-06,qihuo7hcn
47,圣龙资本二号,,491000000.0,509.97,3779400.0,49.43,0.39,2013-03-06,2021-04-09,qihuo7hcn
48,淼森1号,,484000000.0,163.76,356300.0,60.35,1046.32,2012-08-16,2021-04-06,qihuo7hcn
49,王志立,,459000000.0,283.52,12384100.0,85.58,100.28,2012-05-28,2021-04-07,qihuo7hcn
50,Z888YY,,457000000.0,112.92,12705300.0,69.13,500.08,2013-04-01,2021-04-09,qihuo7hcn
