rank,nickname,company,profit,avg_profit,fee,win_rate,equity,start_date,update_date,source
1,德莱斯勒NO.3,,10000000000.0,1538.2,75876900.0,75.08,0.0,2020-07-10,2024-06-07,qihuo7hcn
2,复利王,,10000000000.0,69.44,140000000.0,54.45,2865500.0,2020-12-21,2024-08-28,qihuo7hcn
3,林岩,,9959000000.0,183.17,166000000.0,48.49,2382.59,2016-06-14,2024-06-06,qihuo7hcn
4,品渤投资2,,5469000000.0,297.31,112000000.00000001,42.84,127.24,2018-01-30,2025-08-11,qihuo7hcn
5,琅琊榜,,5093000000.0,1458.96,9703200.0,67.99,0.8,2019-01-25,2024-06-06,qihuo7hcn
6,shhuanghuang,,4143000000.0,64.68,146000000.0,63.38,0.0,2015-06-01,2024-05-14,qihuo7hcn
7,桥睿001,,4020000000.0000005,157.75,66628100.00000001,37.51,19301700.0,2018-12-26,2024-06-06,qihuo7hcn
8,君翊CTA进取1号,,3975000000.0,170.71,36188800.0,56.88,8561900.0,2018-08-27,2024-06-06,qihuo7hcn
9,13829714743,,3795000000.0000005,82.22,176000000.0,79.81,10000.0,2016-03-02,2024-06-06,qihuo7hcn
10,善境投资（佛意）吴洪涛,,3307000000.0,49.84,237000000.0,58.52,3734600.0,2013-07-08,2024-06-06,qihuo7hcn
11,老火鸡,,3061000000.0,156.71,58286400.0,30.49,66252200.0,2016-01-04,2026-02-02,qihuo7hcn
12,wanhong,,2927000000.0,228.44,49966400.0,64.89,0.0,2014-11-12,2019-09-30,qihuo7hcn
13,103606141,,2871000000.0,53.06,160000000.0,49.8,2922900.0,2013-10-08,2025-07-02,qihuo7hcn
14,E,,2847000000.0,62.63,184000000.0,61.39,881300.0,2014-07-07,2026-02-24,qihuo7hcn
15,乔司老爷（求收编）,,2712000000.0,115.36,76231700.0,49.75,1010.0,2017-09-29,2024-06-06,qihuo7hcn
16,tfzc,,2698000000.0,259.05,37491300.0,90.98,6737.08,2013-01-29,2024-06-06,qihuo7hcn
17,富景泽臻日内趋势,,2671000000.0,1324.34,6072100.0,77.44,916700.0,2019-11-20,2024-06-06,qihuo7hcn
18,oyrb,,2307000000.0,362.87,7815000.0,61.47,0.0,2014-06-04,2024-06-06,qihuo7hcn
19,品渤投资,,2194000000.0,508.74,28528400.0,43.49,1047.57,2016-09-05,2024-06-06,qihuo7hcn
20,尚泽激进,,2179000000.0,153.87,48238200.0,35.87,0.64,2011-12-06,2021-04-07,qihuo7hcn
21,沈军2,,2020000000.0,214.93,28127700.0,59.22,19200.0,2016-07-05,2024-06-06,qihuo7hcn
22,大浪淘沙03,,1923000000.0,861.33,7668800.0,59.75,40800.0,2019-01-11,2024-06-06,qihuo7hcn
23,欧阳程序化,,1907000000.0,146.08,56854000.0,48.65,18.27,2012-05-03,2021-04-09,qihuo7hcn
24,一颗星15徽商,,1905999999.9999998,19.7,175000000.0,47.7,70100.0,2013-12-31,2024-06-06,qihuo7hcn
25,凯泽投资,,1803000000.0,25.5,225999999.99999997,52.43,40900.0,2013-02-22,2019-05-28,qihuo7hcn
26,yuanaifei4,,1680000000.0,113.31,48420900.0,42.05,176.49,2014-11-10,2025-04-10,qihuo7hcn
